MC	<p>ce30_9934</p> <p>Which one of the following statements is<strong> <span style="color: #ba372a;"><strong>FALSE</strong></span> </strong> regarding chemosensation (smell and taste)?</p>	Bitter taste commonly uses <strong>GPCR</strong> type receptors and downstream signaling.	Incorrect	In olfaction, an odorant can activate a G protein that stimulates adenylyl cyclase.	Incorrect	<strong>cAMP</strong> can open cyclic nucleotide gated (CNG) ion channels in olfactory neurons.	Incorrect	Sour taste is caused by <strong>Na<sup>+</sup></strong> entering taste cells through ENaC channels.	Correct	A signaling cascade can amplify a small input into a larger cellular response.	Incorrect
MC	<p>ce30_3a01</p> <p>Which one of the following statements is<strong> <span style="color: #ba372a;"><strong>FALSE</strong></span> </strong> regarding chemosensation (smell and taste)?</p>	Taste transduction ends with synaptic signaling to sensory neurons.	Incorrect	Phosphodiesterase can terminate cyclic nucleotide signals by breaking down <strong>cAMP</strong> or <strong>cGMP</strong>.	Incorrect	Sweet tastants are detected mainly by direct passage of glucose through a membrane channel.	Correct	Olfactory sensory neurons typically express one olfactory receptor gene.	Incorrect	Olfactory receptors are commonly seven-transmembrane <strong>GPCR</strong> proteins.	Incorrect
MC	<p>3dba_2152</p> <p>Which one of the following statements is<strong> <span style="color: #127663;"><strong>TRUE</strong></span> </strong> of chemosensation (smell and taste)?</p>	Sour tastants are detected because they increase pH inside taste receptor cells.	Incorrect	Sweet tastants are detected mainly by direct passage of glucose through a membrane channel.	Incorrect	Salty taste depends on <strong>GPCR</strong> activation of adenylyl cyclase and <strong>cAMP</strong>.	Incorrect	Bitter taste occurs only when taste cells take up large amounts of <strong>Ca<sup>2+</sup></strong> from food.	Incorrect	In olfaction, <strong><strong>cAMP</strong></strong> can act as a second messenger that gates ion channels.	Correct
MC	<p>3dba_2dfd</p> <p>Which one of the following statements is<strong> <span style="color: #127663;"><strong>TRUE</strong></span> </strong> of chemosensation (smell and taste)?</p>	Sour tastants are associated with low pH and increased proton concentration.	Correct	Phosphodiesterase makes <strong>cAMP</strong> from ATP and starts signaling.	Incorrect	Bitter taste occurs only when taste cells take up large amounts of <strong>Ca<sup>2+</sup></strong> from food.	Incorrect	Taste transduction bypasses synapses and directly activates the cortex.	Incorrect	Odor identity is determined only by odorant concentration,<strong> <strong>NOT</strong> </strong>by receptor patterns.	Incorrect
MC	<p>3dba_4cbe</p> <p>Which one of the following statements is<strong> <span style="color: #127663;"><strong>TRUE</strong></span> </strong> of chemosensation (smell and taste)?</p>	A cascade is less sensitive because it prevents second messenger production.	Incorrect	A single olfactory sensory neuron expresses every odorant receptor type.	Incorrect	Many odorants activate multiple receptors, producing a combinatorial code.	Correct	Taste transduction bypasses synapses and directly activates the cortex.	Incorrect	Bitter tastants are detected by the same receptor used for salty taste.	Incorrect
MC	<p>ce30_4a81</p> <p>Which one of the following statements is<strong> <span style="color: #ba372a;"><strong>FALSE</strong></span> </strong> regarding chemosensation (smell and taste)?</p>	Sour tastants are detected because they increase pH inside taste receptor cells.	Correct	Cyclic nucleotide phosphodiesterases reduce signaling by hydrolyzing cyclic nucleotides.	Incorrect	A signaling cascade can amplify a small input into a larger cellular response.	Incorrect	<strong>cAMP</strong> can open cyclic nucleotide gated (CNG) ion channels in olfactory neurons.	Incorrect	Sweet taste commonly uses a <strong>GPCR</strong> pathway rather than a simple ion channel pore.	Incorrect
MC	<p>3dba_421d</p> <p>Which one of the following statements is<strong> <span style="color: #127663;"><strong>TRUE</strong></span> </strong> of chemosensation (smell and taste)?</p>	Sweet taste commonly uses a <strong><strong>GPCR</strong></strong> pathway rather than a simple ion channel pore.	Correct	Salty taste depends on <strong>GPCR</strong> activation of adenylyl cyclase and <strong>cAMP</strong>.	Incorrect	Taste receptor cells do<strong> <strong>NOT</strong> </strong>communicate with neurons and act only as passive sensors.	Incorrect	Olfactory transduction primarily depends on <strong>cGMP</strong> made by guanylyl cyclase.	Incorrect	Signal amplification means each signaling step reduces the number of activated molecules.	Incorrect
MC	<p>3dba_c9c8</p> <p>Which one of the following statements is<strong> <span style="color: #127663;"><strong>TRUE</strong></span> </strong> of chemosensation (smell and taste)?</p>	Salty taste is primarily detected by nuclear hormone receptors in taste cells.	Incorrect	Bitter tastants are detected by the same receptor used for salty taste.	Incorrect	<strong><strong>cAMP</strong></strong> can open cyclic nucleotide gated (CNG) ion channels in olfactory neurons.	Correct	A single olfactory sensory neuron expresses every odorant receptor type.	Incorrect	Sour taste is caused by <strong>Na<sup>+</sup></strong> entering taste cells through ENaC channels.	Incorrect
MC	<p>3dba_c5bc</p> <p>Which one of the following statements is<strong> <span style="color: #127663;"><strong>TRUE</strong></span> </strong> of chemosensation (smell and taste)?</p>	Many odorant receptors are <strong><strong>GPCR</strong></strong>s expressed in olfactory sensory neurons.	Correct	Sour taste is caused by <strong>Na<sup>+</sup></strong> entering taste cells through ENaC channels.	Incorrect	Olfactory transduction primarily depends on <strong>cGMP</strong> made by guanylyl cyclase.	Incorrect	Each olfactory sensory neuron expresses many different olfactory receptor genes.	Incorrect	A cascade is less sensitive because it prevents second messenger production.	Incorrect
MC	<p>3dba_fdbf</p> <p>Which one of the following statements is<strong> <span style="color: #127663;"><strong>TRUE</strong></span> </strong> of chemosensation (smell and taste)?</p>	Sweet taste is detected by a voltage gated sodium channel on taste cells.	Incorrect	In olfaction, ion channels open only after <strong>cAMP</strong> is converted into <strong>cGMP</strong>.	Incorrect	Sour tastants are detected because they increase pH inside taste receptor cells.	Incorrect	Odorant binding can lead to <strong>G<sub>olf</sub></strong> activation and increased <strong><strong>cAMP</strong></strong> production.	Correct	Bitter tastants are detected by the same receptor used for salty taste.	Incorrect
MC	<p>ce30_c2c4</p> <p>Which one of the following statements is<strong> <span style="color: #ba372a;"><strong>FALSE</strong></span> </strong> regarding chemosensation (smell and taste)?</p>	Many bitter compounds are detected through <strong>GPCR</strong> signaling in taste receptor cells.	Incorrect	In olfaction, an odorant can activate a G protein that stimulates adenylyl cyclase.	Incorrect	A cascade is less sensitive because it prevents second messenger production.	Correct	Sweet taste commonly uses a <strong>GPCR</strong> pathway rather than a simple ion channel pore.	Incorrect	Salty taste commonly involves ion movement through channels rather than <strong>GPCR</strong> signaling.	Incorrect
MC	<p>ce30_61d3</p> <p>Which one of the following statements is<strong> <span style="color: #ba372a;"><strong>FALSE</strong></span> </strong> regarding chemosensation (smell and taste)?</p>	Taste receptor cells can release neurotransmitter onto afferent neurons.	Incorrect	In olfaction, <strong>cAMP</strong> can act as a second messenger that gates ion channels.	Incorrect	In olfaction, an odorant can activate a G protein that stimulates adenylyl cyclase.	Incorrect	A cascade is less sensitive because it prevents second messenger production.	Correct	Salty taste is often detected by direct ion flow across the membrane.	Incorrect
MC	<p>ce30_5e33</p> <p>Which one of the following statements is<strong> <span style="color: #ba372a;"><strong>FALSE</strong></span> </strong> regarding chemosensation (smell and taste)?</p>	A signaling cascade can amplify a small input into a larger cellular response.	Incorrect	Many bitter compounds are detected through <strong>GPCR</strong> signaling in taste receptor cells.	Incorrect	Taste transduction ends with synaptic signaling to sensory neurons.	Incorrect	Phosphodiesterase can terminate cyclic nucleotide signals by breaking down <strong>cAMP</strong> or <strong>cGMP</strong>.	Incorrect	Each olfactory sensory neuron expresses many different olfactory receptor genes.	Correct
MC	<p>ce30_8bf5</p> <p>Which one of the following statements is<strong> <span style="color: #ba372a;"><strong>FALSE</strong></span> </strong> regarding chemosensation (smell and taste)?</p>	In olfaction, an odorant can activate a G protein that stimulates adenylyl cyclase.	Incorrect	Taste transduction ends with synaptic signaling to sensory neurons.	Incorrect	Cyclic nucleotide phosphodiesterases reduce signaling by hydrolyzing cyclic nucleotides.	Incorrect	In olfaction, ion channels open only after <strong><strong>cAMP</strong></strong> is converted into <strong><strong>cGMP</strong></strong>.	Correct	Many odorant receptors are <strong>GPCR</strong>s expressed in olfactory sensory neurons.	Incorrect
MC	<p>3dba_06bf</p> <p>Which one of the following statements is<strong> <span style="color: #127663;"><strong>TRUE</strong></span> </strong> of chemosensation (smell and taste)?</p>	Olfactory transduction primarily depends on <strong>cGMP</strong> made by guanylyl cyclase.	Incorrect	Sweet tastants are detected mainly by direct passage of glucose through a membrane channel.	Incorrect	In olfaction, <strong><strong>cAMP</strong></strong> can act as a second messenger that gates ion channels.	Correct	Salty taste is primarily detected by nuclear hormone receptors in taste cells.	Incorrect	Each olfactory sensory neuron expresses many different olfactory receptor genes.	Incorrect
MC	<p>ce30_e14b</p> <p>Which one of the following statements is<strong> <span style="color: #ba372a;"><strong>FALSE</strong></span> </strong> regarding chemosensation (smell and taste)?</p>	Taste transduction ends with synaptic signaling to sensory neurons.	Incorrect	In sour sensing cells, protons (H+) can directly change ion channel activity.	Incorrect	In olfactory neurons, <strong><strong>cAMP</strong></strong> closes CNG channels to trigger depolarization.	Correct	Odor identity is encoded by patterns of activity across many receptor types.	Incorrect	Cyclic nucleotide phosphodiesterases reduce signaling by hydrolyzing cyclic nucleotides.	Incorrect
MC	<p>ce30_a858</p> <p>Which one of the following statements is<strong> <span style="color: #ba372a;"><strong>FALSE</strong></span> </strong> regarding chemosensation (smell and taste)?</p>	Odorant binding can lead to <strong>G<sub>olf</sub></strong> activation and increased <strong>cAMP</strong> production.	Incorrect	Sour tastants are associated with low pH and increased proton concentration.	Incorrect	Salty taste is often detected by direct ion flow across the membrane.	Incorrect	Sweet taste is often detected by <strong>GPCR</strong> type receptors on taste cells.	Incorrect	Odor identity is determined only by odorant concentration,<strong> <strong>NOT</strong> </strong>by receptor patterns.	Correct
MC	<p>ce30_2560</p> <p>Which one of the following statements is<strong> <span style="color: #ba372a;"><strong>FALSE</strong></span> </strong> regarding chemosensation (smell and taste)?</p>	In olfaction, an odorant can activate a G protein that stimulates adenylyl cyclase.	Incorrect	Signal amplification can occur when one activated receptor leads to many downstream second messengers.	Incorrect	In olfaction, ion channels open only after <strong><strong>cAMP</strong></strong> is converted into <strong><strong>cGMP</strong></strong>.	Correct	Sweet taste is often detected by <strong>GPCR</strong> type receptors on taste cells.	Incorrect	Taste transduction ends with synaptic signaling to sensory neurons.	Incorrect
MC	<p>ce30_3d7e</p> <p>Which one of the following statements is<strong> <span style="color: #ba372a;"><strong>FALSE</strong></span> </strong> regarding chemosensation (smell and taste)?</p>	Taste transduction bypasses synapses and directly activates the cortex.	Correct	In olfaction, <strong>cAMP</strong> can act as a second messenger that gates ion channels.	Incorrect	Phosphodiesterase can terminate cyclic nucleotide signals by breaking down <strong>cAMP</strong> or <strong>cGMP</strong>.	Incorrect	Olfactory receptors are commonly seven-transmembrane <strong>GPCR</strong> proteins.	Incorrect	Odor identity is encoded by patterns of activity across many receptor types.	Incorrect
MC	<p>3dba_8391</p> <p>Which one of the following statements is<strong> <span style="color: #127663;"><strong>TRUE</strong></span> </strong> of chemosensation (smell and taste)?</p>	Sour taste is caused by <strong>Na<sup>+</sup></strong> entering taste cells through ENaC channels.	Incorrect	In olfaction, odorant binding decreases <strong>cAMP</strong> by directly inhibiting adenylyl cyclase.	Incorrect	Salty taste is primarily detected by nuclear hormone receptors in taste cells.	Incorrect	Many odorant receptors are <strong><strong>GPCR</strong></strong>s expressed in olfactory sensory neurons.	Correct	Odor identity is determined only by odorant concentration,<strong> <strong>NOT</strong> </strong>by receptor patterns.	Incorrect
MC	<p>3dba_bdc7</p> <p>Which one of the following statements is<strong> <span style="color: #127663;"><strong>TRUE</strong></span> </strong> of chemosensation (smell and taste)?</p>	Signal amplification can occur when one activated receptor leads to many downstream second messengers.	Correct	Phosphodiesterase increases cyclic nucleotide levels by synthesizing <strong>cAMP</strong> and <strong>cGMP</strong>.	Incorrect	Sweet tastants are detected mainly by direct passage of glucose through a membrane channel.	Incorrect	In mammals, olfactory receptors are ligand gated ion channels that open directly when an odorant binds.	Incorrect	In olfaction, ion channels open only after <strong>cAMP</strong> is converted into <strong>cGMP</strong>.	Incorrect
MC	<p>3dba_2496</p> <p>Which one of the following statements is<strong> <span style="color: #127663;"><strong>TRUE</strong></span> </strong> of chemosensation (smell and taste)?</p>	In olfactory neurons, <strong>cAMP</strong> closes CNG channels to trigger depolarization.	Incorrect	Phosphodiesterase can terminate cyclic nucleotide signals by breaking down <strong><strong>cAMP</strong></strong> or <strong><strong>cGMP</strong></strong>.	Correct	Olfactory transduction primarily depends on <strong>cGMP</strong> made by guanylyl cyclase.	Incorrect	Each odorant activates only one receptor, so smell has a one odor to one receptor code.	Incorrect	Salty taste is primarily detected by nuclear hormone receptors in taste cells.	Incorrect
MC	<p>ce30_906b</p> <p>Which one of the following statements is<strong> <span style="color: #ba372a;"><strong>FALSE</strong></span> </strong> regarding chemosensation (smell and taste)?</p>	In olfaction, an odorant can activate a G protein that stimulates adenylyl cyclase.	Incorrect	Phosphodiesterase makes <strong><strong>cAMP</strong></strong> from ATP and starts signaling.	Correct	Sweet taste commonly uses a <strong>GPCR</strong> pathway rather than a simple ion channel pore.	Incorrect	Signal amplification can occur when one activated receptor leads to many downstream second messengers.	Incorrect	In olfaction, <strong>cAMP</strong> can act as a second messenger that gates ion channels.	Incorrect
MC	<p>3dba_d87d</p> <p>Which one of the following statements is<strong> <span style="color: #127663;"><strong>TRUE</strong></span> </strong> of chemosensation (smell and taste)?</p>	Odorant binding can lead to <strong>G<sub>olf</sub></strong> activation and increased <strong><strong>cAMP</strong></strong> production.	Correct	Most odorants are detected by receptor tyrosine kinases in olfactory neurons.	Incorrect	In olfaction, ion channels open only after <strong>cAMP</strong> is converted into <strong>cGMP</strong>.	Incorrect	Salty taste is primarily detected by nuclear hormone receptors in taste cells.	Incorrect	Sour tastants are detected because they increase pH inside taste receptor cells.	Incorrect
MC	<p>ce30_9b38</p> <p>Which one of the following statements is<strong> <span style="color: #ba372a;"><strong>FALSE</strong></span> </strong> regarding chemosensation (smell and taste)?</p>	Odorant binding can lead to <strong>G<sub>olf</sub></strong> activation and increased <strong>cAMP</strong> production.	Incorrect	Many odorants activate multiple receptors, producing a combinatorial code.	Incorrect	In sour sensing cells, protons (H+) can directly change ion channel activity.	Incorrect	A cascade is less sensitive because it prevents second messenger production.	Correct	Sweet taste is often detected by <strong>GPCR</strong> type receptors on taste cells.	Incorrect
MC	<p>ce30_133f</p> <p>Which one of the following statements is<strong> <span style="color: #ba372a;"><strong>FALSE</strong></span> </strong> regarding chemosensation (smell and taste)?</p>	Taste receptor cells can release neurotransmitter onto afferent neurons.	Incorrect	A cascade is less sensitive because it prevents second messenger production.	Correct	Odor identity is encoded by patterns of activity across many receptor types.	Incorrect	In sour sensing cells, protons (H+) can directly change ion channel activity.	Incorrect	Salty taste commonly involves ion movement through channels rather than <strong>GPCR</strong> signaling.	Incorrect
MC	<p>3dba_0845</p> <p>Which one of the following statements is<strong> <span style="color: #127663;"><strong>TRUE</strong></span> </strong> of chemosensation (smell and taste)?</p>	Salty taste depends on <strong>GPCR</strong> activation of adenylyl cyclase and <strong>cAMP</strong>.	Incorrect	Odor identity is determined only by odorant concentration,<strong> <strong>NOT</strong> </strong>by receptor patterns.	Incorrect	Sour taste is caused by <strong>Na<sup>+</sup></strong> entering taste cells through ENaC channels.	Incorrect	A signaling cascade can amplify a small input into a larger cellular response.	Correct	Taste receptor cells do<strong> <strong>NOT</strong> </strong>communicate with neurons and act only as passive sensors.	Incorrect
MC	<p>3dba_79a6</p> <p>Which one of the following statements is<strong> <span style="color: #127663;"><strong>TRUE</strong></span> </strong> of chemosensation (smell and taste)?</p>	Salty taste depends on <strong>GPCR</strong> activation of adenylyl cyclase and <strong>cAMP</strong>.	Incorrect	Most odorants are detected by receptor tyrosine kinases in olfactory neurons.	Incorrect	Odor identity is determined only by odorant concentration,<strong> <strong>NOT</strong> </strong>by receptor patterns.	Incorrect	Sour taste is caused by <strong>Na<sup>+</sup></strong> entering taste cells through ENaC channels.	Incorrect	Cyclic nucleotide phosphodiesterases reduce signaling by hydrolyzing cyclic nucleotides.	Correct
MC	<p>3dba_233d</p> <p>Which one of the following statements is<strong> <span style="color: #127663;"><strong>TRUE</strong></span> </strong> of chemosensation (smell and taste)?</p>	In olfactory neurons, <strong>cAMP</strong> closes CNG channels to trigger depolarization.	Incorrect	Olfactory transduction primarily depends on <strong>cGMP</strong> made by guanylyl cyclase.	Incorrect	Salty taste is primarily detected by nuclear hormone receptors in taste cells.	Incorrect	Bitter taste occurs only when taste cells take up large amounts of <strong>Ca<sup>2+</sup></strong> from food.	Incorrect	Cyclic nucleotide phosphodiesterases reduce signaling by hydrolyzing cyclic nucleotides.	Correct
MC	<p>3dba_5597</p> <p>Which one of the following statements is<strong> <span style="color: #127663;"><strong>TRUE</strong></span> </strong> of chemosensation (smell and taste)?</p>	Odor identity is encoded by patterns of activity across many receptor types.	Correct	Taste transduction bypasses synapses and directly activates the cortex.	Incorrect	Phosphodiesterase makes <strong>cAMP</strong> from ATP and starts signaling.	Incorrect	Most odorants are detected by receptor tyrosine kinases in olfactory neurons.	Incorrect	A single olfactory sensory neuron expresses every odorant receptor type.	Incorrect
MC	<p>ce30_ba6c</p> <p>Which one of the following statements is<strong> <span style="color: #ba372a;"><strong>FALSE</strong></span> </strong> regarding chemosensation (smell and taste)?</p>	Taste receptor cells do<strong> <strong>NOT</strong> </strong>communicate with neurons and act only as passive sensors.	Correct	Phosphodiesterase can terminate cyclic nucleotide signals by breaking down <strong>cAMP</strong> or <strong>cGMP</strong>.	Incorrect	Salty taste commonly involves ion movement through channels rather than <strong>GPCR</strong> signaling.	Incorrect	Odor identity is encoded by patterns of activity across many receptor types.	Incorrect	Sour tastants are associated with low pH and increased proton concentration.	Incorrect
MC	<p>ce30_60ac</p> <p>Which one of the following statements is<strong> <span style="color: #ba372a;"><strong>FALSE</strong></span> </strong> regarding chemosensation (smell and taste)?</p>	Sour taste is linked to high acidity and elevated <strong>H<sub>3</sub>O<sup>+</sup></strong> in foods.	Incorrect	<strong>cAMP</strong> can open cyclic nucleotide gated (CNG) ion channels in olfactory neurons.	Incorrect	Each olfactory sensory neuron expresses many different olfactory receptor genes.	Correct	Salty taste commonly involves ion movement through channels rather than <strong>GPCR</strong> signaling.	Incorrect	Odorant binding can lead to <strong>G<sub>olf</sub></strong> activation and increased <strong>cAMP</strong> production.	Incorrect
MC	<p>3dba_a7b8</p> <p>Which one of the following statements is<strong> <span style="color: #127663;"><strong>TRUE</strong></span> </strong> of chemosensation (smell and taste)?</p>	In olfactory neurons, <strong>cAMP</strong> closes CNG channels to trigger depolarization.	Incorrect	Each odorant activates only one receptor, so smell has a one odor to one receptor code.	Incorrect	Sour tastants are associated with low pH and increased proton concentration.	Correct	Phosphodiesterase increases cyclic nucleotide levels by synthesizing <strong>cAMP</strong> and <strong>cGMP</strong>.	Incorrect	Sweet taste is detected by a voltage gated sodium channel on taste cells.	Incorrect
MC	<p>3dba_e35b</p> <p>Which one of the following statements is<strong> <span style="color: #127663;"><strong>TRUE</strong></span> </strong> of chemosensation (smell and taste)?</p>	Sour tastants are detected because they increase pH inside taste receptor cells.	Incorrect	Signal amplification means each signaling step reduces the number of activated molecules.	Incorrect	Taste receptor cells do<strong> <strong>NOT</strong> </strong>communicate with neurons and act only as passive sensors.	Incorrect	Phosphodiesterase increases cyclic nucleotide levels by synthesizing <strong>cAMP</strong> and <strong>cGMP</strong>.	Incorrect	Many odorants activate multiple receptors, producing a combinatorial code.	Correct
MC	<p>ce30_2bb4</p> <p>Which one of the following statements is<strong> <span style="color: #ba372a;"><strong>FALSE</strong></span> </strong> regarding chemosensation (smell and taste)?</p>	Salty taste commonly involves ion movement through channels rather than <strong>GPCR</strong> signaling.	Incorrect	A signaling cascade can amplify a small input into a larger cellular response.	Incorrect	Many odorant receptors are <strong>GPCR</strong>s expressed in olfactory sensory neurons.	Incorrect	Taste transduction bypasses synapses and directly activates the cortex.	Correct	Olfactory sensory neurons typically express one olfactory receptor gene.	Incorrect
MC	<p>3dba_fbed</p> <p>Which one of the following statements is<strong> <span style="color: #127663;"><strong>TRUE</strong></span> </strong> of chemosensation (smell and taste)?</p>	Salty taste is primarily detected by nuclear hormone receptors in taste cells.	Incorrect	Taste transduction bypasses synapses and directly activates the cortex.	Incorrect	Many bitter compounds are detected through <strong><strong>GPCR</strong></strong> signaling in taste receptor cells.	Correct	Odor identity is determined only by odorant concentration,<strong> <strong>NOT</strong> </strong>by receptor patterns.	Incorrect	Phosphodiesterase makes <strong>cAMP</strong> from ATP and starts signaling.	Incorrect
MC	<p>ce30_b0fb</p> <p>Which one of the following statements is<strong> <span style="color: #ba372a;"><strong>FALSE</strong></span> </strong> regarding chemosensation (smell and taste)?</p>	Sour tastants are associated with low pH and increased proton concentration.	Incorrect	Odorant binding can lead to <strong>G<sub>olf</sub></strong> activation and increased <strong>cAMP</strong> production.	Incorrect	Cyclic nucleotide phosphodiesterases reduce signaling by hydrolyzing cyclic nucleotides.	Incorrect	<strong>cAMP</strong> can open cyclic nucleotide gated (CNG) ion channels in olfactory neurons.	Incorrect	Salty taste depends on <strong><strong>GPCR</strong></strong> activation of adenylyl cyclase and <strong><strong>cAMP</strong></strong>.	Correct
MC	<p>ce30_702e</p> <p>Which one of the following statements is<strong> <span style="color: #ba372a;"><strong>FALSE</strong></span> </strong> regarding chemosensation (smell and taste)?</p>	A signaling cascade can amplify a small input into a larger cellular response.	Incorrect	Many odorant receptors are <strong>GPCR</strong>s expressed in olfactory sensory neurons.	Incorrect	Salty taste is often detected by direct ion flow across the membrane.	Incorrect	Sweet taste is detected by a voltage gated sodium channel on taste cells.	Correct	Olfactory sensory neurons typically express one olfactory receptor gene.	Incorrect
MC	<p>3dba_f0a7</p> <p>Which one of the following statements is<strong> <span style="color: #127663;"><strong>TRUE</strong></span> </strong> of chemosensation (smell and taste)?</p>	Each olfactory sensory neuron expresses many different olfactory receptor genes.	Incorrect	Odor identity is determined only by odorant concentration,<strong> <strong>NOT</strong> </strong>by receptor patterns.	Incorrect	Phosphodiesterase makes <strong>cAMP</strong> from ATP and starts signaling.	Incorrect	Sour tastants are associated with low pH and increased proton concentration.	Correct	Bitter taste occurs only when taste cells take up large amounts of <strong>Ca<sup>2+</sup></strong> from food.	Incorrect
MC	<p>3dba_9632</p> <p>Which one of the following statements is<strong> <span style="color: #127663;"><strong>TRUE</strong></span> </strong> of chemosensation (smell and taste)?</p>	Sweet taste is often detected by <strong><strong>GPCR</strong></strong> type receptors on taste cells.	Correct	In olfaction, odorant binding decreases <strong>cAMP</strong> by directly inhibiting adenylyl cyclase.	Incorrect	Signal amplification means each signaling step reduces the number of activated molecules.	Incorrect	Salty taste is primarily detected by nuclear hormone receptors in taste cells.	Incorrect	Odor identity is determined only by odorant concentration,<strong> <strong>NOT</strong> </strong>by receptor patterns.	Incorrect
MC	<p>3dba_41ef</p> <p>Which one of the following statements is<strong> <span style="color: #127663;"><strong>TRUE</strong></span> </strong> of chemosensation (smell and taste)?</p>	Most odorants are detected by receptor tyrosine kinases in olfactory neurons.	Incorrect	Bitter taste occurs only when taste cells take up large amounts of <strong>Ca<sup>2+</sup></strong> from food.	Incorrect	Phosphodiesterase increases cyclic nucleotide levels by synthesizing <strong>cAMP</strong> and <strong>cGMP</strong>.	Incorrect	In olfaction, <strong><strong>cAMP</strong></strong> can act as a second messenger that gates ion channels.	Correct	A cascade is less sensitive because it prevents second messenger production.	Incorrect
MC	<p>ce30_8b5e</p> <p>Which one of the following statements is<strong> <span style="color: #ba372a;"><strong>FALSE</strong></span> </strong> regarding chemosensation (smell and taste)?</p>	Sour tastants are detected because they increase pH inside taste receptor cells.	Correct	Sweet taste is often detected by <strong>GPCR</strong> type receptors on taste cells.	Incorrect	In olfaction, <strong>cAMP</strong> can act as a second messenger that gates ion channels.	Incorrect	Salty taste is often detected by direct ion flow across the membrane.	Incorrect	Signal amplification can occur when one activated receptor leads to many downstream second messengers.	Incorrect
MC	<p>3dba_7213</p> <p>Which one of the following statements is<strong> <span style="color: #127663;"><strong>TRUE</strong></span> </strong> of chemosensation (smell and taste)?</p>	Phosphodiesterase increases cyclic nucleotide levels by synthesizing <strong>cAMP</strong> and <strong>cGMP</strong>.	Incorrect	Taste transduction ends with synaptic signaling to sensory neurons.	Correct	Each olfactory sensory neuron expresses many different olfactory receptor genes.	Incorrect	Each odorant activates only one receptor, so smell has a one odor to one receptor code.	Incorrect	Sour taste is caused by <strong>Na<sup>+</sup></strong> entering taste cells through ENaC channels.	Incorrect
MC	<p>ce30_aa67</p> <p>Which one of the following statements is<strong> <span style="color: #ba372a;"><strong>FALSE</strong></span> </strong> regarding chemosensation (smell and taste)?</p>	<strong>cAMP</strong> can open cyclic nucleotide gated (CNG) ion channels in olfactory neurons.	Incorrect	Sweet taste commonly uses a <strong>GPCR</strong> pathway rather than a simple ion channel pore.	Incorrect	Each odorant activates only one receptor, so smell has a one odor to one receptor code.	Correct	In olfaction, an odorant can activate a G protein that stimulates adenylyl cyclase.	Incorrect	Many odorant receptors are <strong>GPCR</strong>s expressed in olfactory sensory neurons.	Incorrect
MC	<p>ce30_f1f3</p> <p>Which one of the following statements is<strong> <span style="color: #ba372a;"><strong>FALSE</strong></span> </strong> regarding chemosensation (smell and taste)?</p>	Sour tastants are associated with low pH and increased proton concentration.	Incorrect	In olfaction, <strong>cAMP</strong> can act as a second messenger that gates ion channels.	Incorrect	Many bitter compounds are detected through <strong>GPCR</strong> signaling in taste receptor cells.	Incorrect	In olfaction, an odorant can activate a G protein that stimulates adenylyl cyclase.	Incorrect	Salty taste is primarily detected by nuclear hormone receptors in taste cells.	Correct
MC	<p>3dba_5828</p> <p>Which one of the following statements is<strong> <span style="color: #127663;"><strong>TRUE</strong></span> </strong> of chemosensation (smell and taste)?</p>	Each odorant activates only one receptor, so smell has a one odor to one receptor code.	Incorrect	In olfaction, ion channels open only after <strong>cAMP</strong> is converted into <strong>cGMP</strong>.	Incorrect	Phosphodiesterase can terminate cyclic nucleotide signals by breaking down <strong><strong>cAMP</strong></strong> or <strong><strong>cGMP</strong></strong>.	Correct	Sweet tastants are detected mainly by direct passage of glucose through a membrane channel.	Incorrect	Salty taste is primarily detected by nuclear hormone receptors in taste cells.	Incorrect
MC	<p>3dba_577d</p> <p>Which one of the following statements is<strong> <span style="color: #127663;"><strong>TRUE</strong></span> </strong> of chemosensation (smell and taste)?</p>	A single olfactory sensory neuron expresses every odorant receptor type.	Incorrect	In olfaction, <strong><strong>cAMP</strong></strong> can act as a second messenger that gates ion channels.	Correct	Sour taste is caused by <strong>Na<sup>+</sup></strong> entering taste cells through ENaC channels.	Incorrect	Taste transduction bypasses synapses and directly activates the cortex.	Incorrect	In olfaction, odorant binding decreases <strong>cAMP</strong> by directly inhibiting adenylyl cyclase.	Incorrect
MC	<p>3dba_b162</p> <p>Which one of the following statements is<strong> <span style="color: #127663;"><strong>TRUE</strong></span> </strong> of chemosensation (smell and taste)?</p>	Bitter taste commonly uses <strong><strong>GPCR</strong></strong> type receptors and downstream signaling.	Correct	In olfactory neurons, <strong>cAMP</strong> closes CNG channels to trigger depolarization.	Incorrect	Phosphodiesterase makes <strong>cAMP</strong> from ATP and starts signaling.	Incorrect	Salty taste depends on <strong>GPCR</strong> activation of adenylyl cyclase and <strong>cAMP</strong>.	Incorrect	Sweet taste is detected by a voltage gated sodium channel on taste cells.	Incorrect
MC	<p>ce30_1b80</p> <p>Which one of the following statements is<strong> <span style="color: #ba372a;"><strong>FALSE</strong></span> </strong> regarding chemosensation (smell and taste)?</p>	Bitter taste occurs only when taste cells take up large amounts of <strong>Ca<sup>2+</sup></strong> from food.	Correct	Signal amplification can occur when one activated receptor leads to many downstream second messengers.	Incorrect	Taste transduction ends with synaptic signaling to sensory neurons.	Incorrect	Sour tastants are associated with low pH and increased proton concentration.	Incorrect	Odorant binding can lead to <strong>G<sub>olf</sub></strong> activation and increased <strong>cAMP</strong> production.	Incorrect
