MC	<p>c9eb_df21</p> <p>Which one of the following statements is<strong> <span style="color: #127663;"><strong>TRUE</strong></span> </strong> about differences between <strong><span style="color: OrangeRed;"><strong><span style="color: OrangeRed;"><strong><span style="color: OrangeRed;"><strong><span style="color: OrangeRed;"><strong><span style="color: OrangeRed;">RNA</span></strong></span></strong></span></strong></span></strong></span></strong> and <strong><span style="color: MediumBlue;"><strong><span style="color: MediumBlue;"><strong><span style="color: MediumBlue;"><strong><span style="color: MediumBlue;"><strong><span style="color: MediumBlue;">DNA</span></strong></span></strong></span></strong></span></strong></span></strong>?</p>	Both <strong><span style="color: MediumBlue;"><strong><span style="color: MediumBlue;">DNA</span></strong></span></strong> and <strong><span style="color: OrangeRed;"><strong><span style="color: OrangeRed;">RNA</span></strong></span></strong> have a negative charge	Correct	<strong><span style="color: OrangeRed;">RNA</span></strong> has a regular consistent structure	Incorrect	<strong><span style="color: MediumBlue;">DNA</span></strong> is usually single-stranded (simplex), whereas <strong><span style="color: OrangeRed;">RNA</span></strong> is usually double-stranded (duplex)	Incorrect	<strong><span style="color: MediumBlue;">DNA</span></strong> has a sugar-phosphate backbone, <strong><span style="color: OrangeRed;">RNA</span></strong> does not	Incorrect	double-stranded <strong><span style="color: MediumBlue;">DNA</span></strong> has major and minor grooves, double-stranded <strong><span style="color: OrangeRed;">RNA</span></strong> does not	Incorrect
MC	<p>eb65_e3ae</p> <p>Which one of the following statements is<strong> <span style="color: #ba372a;"><strong>FALSE</strong></span> </strong> regarding differences between <strong><span style="color: OrangeRed;"><strong><span style="color: OrangeRed;"><strong><span style="color: OrangeRed;"><strong><span style="color: OrangeRed;"><strong><span style="color: OrangeRed;"><strong><span style="color: OrangeRed;"><strong><span style="color: OrangeRed;">RNA</span></strong></span></strong></span></strong></span></strong></span></strong></span></strong></span></strong> and <strong><span style="color: MediumBlue;"><strong><span style="color: MediumBlue;"><strong><span style="color: MediumBlue;"><strong><span style="color: MediumBlue;"><strong><span style="color: MediumBlue;"><strong><span style="color: MediumBlue;"><strong><span style="color: MediumBlue;">DNA</span></strong></span></strong></span></strong></span></strong></span></strong></span></strong></span></strong>?</p>	<strong><span style="color: OrangeRed;">RNA</span></strong> can form a double-stranded helix	Incorrect	<strong><span style="color: MediumBlue;"><strong><span style="color: MediumBlue;">DNA</span></strong></span></strong> nucleotides are missing the 4&prime; hydroxide (-OH) group compared to <strong><span style="color: OrangeRed;"><strong><span style="color: OrangeRed;">RNA</span></strong></span></strong>	Correct	Both <strong><span style="color: MediumBlue;">DNA</span></strong> and <strong><span style="color: OrangeRed;">RNA</span></strong> have a negative charge	Incorrect	uracil in <strong><span style="color: OrangeRed;">RNA</span></strong> takes the place of thymine in <strong><span style="color: MediumBlue;">DNA</span></strong>	Incorrect	<strong><span style="color: OrangeRed;">RNA</span></strong> is usually single-stranded (simplex), whereas <strong><span style="color: MediumBlue;">DNA</span></strong> is usually double-stranded (duplex)	Incorrect
MC	<p>6e25_68df</p> <p>Which one of the following statements is<strong> <span style="color: #ba372a;"><strong>FALSE</strong></span> </strong> regarding differences between <strong><span style="color: OrangeRed;"><strong><span style="color: OrangeRed;"><strong><span style="color: OrangeRed;"><strong><span style="color: OrangeRed;"><strong><span style="color: OrangeRed;"><strong><span style="color: OrangeRed;">RNA</span></strong></span></strong></span></strong></span></strong></span></strong></span></strong> and <strong><span style="color: MediumBlue;"><strong><span style="color: MediumBlue;"><strong><span style="color: MediumBlue;"><strong><span style="color: MediumBlue;"><strong><span style="color: MediumBlue;"><strong><span style="color: MediumBlue;">DNA</span></strong></span></strong></span></strong></span></strong></span></strong></span></strong>?</p>	Both <strong><span style="color: MediumBlue;">DNA</span></strong> and <strong><span style="color: OrangeRed;">RNA</span></strong> have a negative charge	Incorrect	Both <strong><span style="color: MediumBlue;">DNA</span></strong> and <strong><span style="color: OrangeRed;">RNA</span></strong> can form a double-stranded helix	Incorrect	<strong><span style="color: OrangeRed;"><strong><span style="color: OrangeRed;">RNA</span></strong></span></strong> is made of nucleotides, <strong><span style="color: MediumBlue;"><strong><span style="color: MediumBlue;">DNA</span></strong></span></strong> is made of amino acids	Correct	the <strong><span style="color: OrangeRed;">RNA</span></strong> sugar is ribose, <strong><span style="color: MediumBlue;">DNA</span></strong> has a different sugar	Incorrect	thymine in <strong><span style="color: MediumBlue;">DNA</span></strong> takes the place of uracil in <strong><span style="color: OrangeRed;">RNA</span></strong>	Incorrect
MC	<p>6e25_f7c4</p> <p>Which one of the following statements is<strong> <span style="color: #ba372a;"><strong>FALSE</strong></span> </strong> regarding differences between <strong><span style="color: OrangeRed;"><strong><span style="color: OrangeRed;"><strong><span style="color: OrangeRed;"><strong><span style="color: OrangeRed;"><strong><span style="color: OrangeRed;"><strong><span style="color: OrangeRed;">RNA</span></strong></span></strong></span></strong></span></strong></span></strong></span></strong> and <strong><span style="color: MediumBlue;"><strong><span style="color: MediumBlue;"><strong><span style="color: MediumBlue;"><strong><span style="color: MediumBlue;"><strong><span style="color: MediumBlue;"><strong><span style="color: MediumBlue;">DNA</span></strong></span></strong></span></strong></span></strong></span></strong></span></strong>?</p>	Both double-stranded <strong><span style="color: MediumBlue;">DNA</span></strong> and double-stranded <strong><span style="color: OrangeRed;">RNA</span></strong> have major and minor grooves	Incorrect	double-stranded <strong><span style="color: MediumBlue;">DNA</span></strong> is mostly in the B-form helix, whereas double-stranded <strong><span style="color: OrangeRed;">RNA</span></strong> is mostly in the A-form helix	Incorrect	<strong><span style="color: MediumBlue;"><strong><span style="color: MediumBlue;">DNA</span></strong></span></strong> can form a double-stranded helix, but <strong><span style="color: OrangeRed;"><strong><span style="color: OrangeRed;">RNA</span></strong></span></strong> cannot	Correct	<strong><span style="color: OrangeRed;">RNA</span></strong> adopts a wide variety of tertiary structures	Incorrect	thymine in <strong><span style="color: MediumBlue;">DNA</span></strong> takes the place of uracil in <strong><span style="color: OrangeRed;">RNA</span></strong>	Incorrect
MC	<p>dba9_dce1</p> <p>Which one of the following statements is<strong> <span style="color: #ba372a;"><strong>FALSE</strong></span> </strong> regarding differences between <strong><span style="color: OrangeRed;"><strong><span style="color: OrangeRed;"><strong><span style="color: OrangeRed;"><strong><span style="color: OrangeRed;"><strong><span style="color: OrangeRed;"><strong><span style="color: OrangeRed;"><strong><span style="color: OrangeRed;"><strong><span style="color: OrangeRed;">RNA</span></strong></span></strong></span></strong></span></strong></span></strong></span></strong></span></strong></span></strong> and <strong><span style="color: MediumBlue;"><strong><span style="color: MediumBlue;"><strong><span style="color: MediumBlue;"><strong><span style="color: MediumBlue;"><strong><span style="color: MediumBlue;"><strong><span style="color: MediumBlue;"><strong><span style="color: MediumBlue;"><strong><span style="color: MediumBlue;">DNA</span></strong></span></strong></span></strong></span></strong></span></strong></span></strong></span></strong></span></strong>?</p>	Both <strong><span style="color: MediumBlue;">DNA</span></strong> and <strong><span style="color: OrangeRed;">RNA</span></strong> have a negative charge	Incorrect	uracil in <strong><span style="color: OrangeRed;">RNA</span></strong> takes the place of thymine in <strong><span style="color: MediumBlue;">DNA</span></strong>	Incorrect	<strong><span style="color: OrangeRed;"><strong><span style="color: OrangeRed;">RNA</span></strong></span></strong> has a regular consistent structure, whereas <strong><span style="color: MediumBlue;"><strong><span style="color: MediumBlue;">DNA</span></strong></span></strong> adopts a wide variety of tertiary structures	Correct	the <strong><span style="color: MediumBlue;">DNA</span></strong> sugar is dexoyribose, <strong><span style="color: OrangeRed;">RNA</span></strong> has a different sugar	Incorrect	double-stranded <strong><span style="color: OrangeRed;">RNA</span></strong> is mostly in the A-form helix, whereas double-stranded <strong><span style="color: MediumBlue;">DNA</span></strong> is mostly in the B-form helix	Incorrect
MC	<p>7209_c8f9</p> <p>Which one of the following statements is<strong> <span style="color: #127663;"><strong>TRUE</strong></span> </strong> about differences between <strong><span style="color: OrangeRed;"><strong><span style="color: OrangeRed;"><strong><span style="color: OrangeRed;">RNA</span></strong></span></strong></span></strong> and <strong><span style="color: MediumBlue;"><strong><span style="color: MediumBlue;"><strong><span style="color: MediumBlue;">DNA</span></strong></span></strong></span></strong>?</p>	double-stranded <strong><span style="color: OrangeRed;">RNA</span></strong> has major and minor grooves, double-stranded <strong><span style="color: MediumBlue;">DNA</span></strong> does not	Incorrect	uracil in <strong><span style="color: OrangeRed;">RNA</span></strong> takes the place of adenine in <strong><span style="color: MediumBlue;">DNA</span></strong>	Incorrect	the <strong><span style="color: OrangeRed;"><strong><span style="color: OrangeRed;">RNA</span></strong></span></strong> sugar is ribose, <strong><span style="color: MediumBlue;"><strong><span style="color: MediumBlue;">DNA</span></strong></span></strong> has a different sugar	Correct	double-stranded <strong><span style="color: OrangeRed;">RNA</span></strong> is mostly in the B-form helix, whereas double-stranded <strong><span style="color: MediumBlue;">DNA</span></strong> is mostly in the A-form helix	Incorrect	<strong><span style="color: OrangeRed;">RNA</span></strong> has a sugar-phosphate backbone, <strong><span style="color: MediumBlue;">DNA</span></strong> does not	Incorrect
MC	<p>0587_66d8</p> <p>Which one of the following statements is<strong> <span style="color: #ba372a;"><strong>FALSE</strong></span> </strong> regarding differences between <strong><span style="color: OrangeRed;"><strong><span style="color: OrangeRed;"><strong><span style="color: OrangeRed;">RNA</span></strong></span></strong></span></strong> and <strong><span style="color: MediumBlue;"><strong><span style="color: MediumBlue;"><strong><span style="color: MediumBlue;">DNA</span></strong></span></strong></span></strong>?</p>	<strong><span style="color: MediumBlue;">DNA</span></strong> contains one less hydroxyl (-OH) group than <strong><span style="color: OrangeRed;">RNA</span></strong>	Incorrect	<strong><span style="color: MediumBlue;">DNA</span></strong> has a regular consistent structure	Incorrect	<strong><span style="color: OrangeRed;"><strong><span style="color: OrangeRed;">RNA</span></strong></span></strong> cannot form a double-stranded helix	Correct	Both <strong><span style="color: MediumBlue;">DNA</span></strong> and <strong><span style="color: OrangeRed;">RNA</span></strong> have a negative charge	Incorrect	Both double-stranded <strong><span style="color: MediumBlue;">DNA</span></strong> and double-stranded <strong><span style="color: OrangeRed;">RNA</span></strong> have major and minor grooves	Incorrect
MC	<p>5627_c326</p> <p>Which one of the following statements is<strong> <span style="color: #127663;"><strong>TRUE</strong></span> </strong> about differences between <strong><span style="color: OrangeRed;"><strong><span style="color: OrangeRed;"><strong><span style="color: OrangeRed;"><strong><span style="color: OrangeRed;"><strong><span style="color: OrangeRed;"><strong><span style="color: OrangeRed;"><strong><span style="color: OrangeRed;"><strong><span style="color: OrangeRed;"><strong><span style="color: OrangeRed;"><strong><span style="color: OrangeRed;"><strong><span style="color: OrangeRed;"><strong><span style="color: OrangeRed;">RNA</span></strong></span></strong></span></strong></span></strong></span></strong></span></strong></span></strong></span></strong></span></strong></span></strong></span></strong></span></strong> and <strong><span style="color: MediumBlue;"><strong><span style="color: MediumBlue;"><strong><span style="color: MediumBlue;"><strong><span style="color: MediumBlue;"><strong><span style="color: MediumBlue;"><strong><span style="color: MediumBlue;"><strong><span style="color: MediumBlue;"><strong><span style="color: MediumBlue;"><strong><span style="color: MediumBlue;"><strong><span style="color: MediumBlue;"><strong><span style="color: MediumBlue;"><strong><span style="color: MediumBlue;">DNA</span></strong></span></strong></span></strong></span></strong></span></strong></span></strong></span></strong></span></strong></span></strong></span></strong></span></strong></span></strong>?</p>	double-stranded <strong><span style="color: OrangeRed;">RNA</span></strong> has major and minor grooves, double-stranded <strong><span style="color: MediumBlue;">DNA</span></strong> does not	Incorrect	double-stranded <strong><span style="color: MediumBlue;">DNA</span></strong> is mostly in the A-form helix, whereas double-stranded <strong><span style="color: OrangeRed;">RNA</span></strong> is mostly in the B-form helix	Incorrect	<strong><span style="color: MediumBlue;"><strong><span style="color: MediumBlue;">DNA</span></strong></span></strong> has a regular consistent structure	Correct	the <strong><span style="color: OrangeRed;">RNA</span></strong> sugar is deoxyribose, <strong><span style="color: MediumBlue;">DNA</span></strong> has a different sugar	Incorrect	<strong><span style="color: MediumBlue;">DNA</span></strong> has a negative charge, <strong><span style="color: OrangeRed;">RNA</span></strong> has a positive charge	Incorrect
MC	<p>4eff_e2d1</p> <p>Which one of the following statements is<strong> <span style="color: #ba372a;"><strong>FALSE</strong></span> </strong> regarding differences between <strong><span style="color: OrangeRed;"><strong><span style="color: OrangeRed;">RNA</span></strong></span></strong> and <strong><span style="color: MediumBlue;"><strong><span style="color: MediumBlue;">DNA</span></strong></span></strong>?</p>	the <strong><span style="color: MediumBlue;">DNA</span></strong> sugar is dexoyribose, <strong><span style="color: OrangeRed;">RNA</span></strong> has a different sugar	Incorrect	Both <strong><span style="color: MediumBlue;">DNA</span></strong> and <strong><span style="color: OrangeRed;">RNA</span></strong> have a negative charge	Incorrect	double-stranded <strong><span style="color: OrangeRed;"><strong><span style="color: OrangeRed;">RNA</span></strong></span></strong> is mostly in the B-form helix, whereas double-stranded <strong><span style="color: MediumBlue;"><strong><span style="color: MediumBlue;">DNA</span></strong></span></strong> is mostly in the A-form helix	Correct	<strong><span style="color: MediumBlue;">DNA</span></strong> is usually double-stranded (duplex), whereas <strong><span style="color: OrangeRed;">RNA</span></strong> is usually single-stranded (simplex)	Incorrect	uracil in <strong><span style="color: OrangeRed;">RNA</span></strong> takes the place of thymine in <strong><span style="color: MediumBlue;">DNA</span></strong>	Incorrect
MC	<p>5c84_1513</p> <p>Which one of the following statements is<strong> <span style="color: #ba372a;"><strong>FALSE</strong></span> </strong> regarding differences between <strong><span style="color: OrangeRed;"><strong><span style="color: OrangeRed;"><strong><span style="color: OrangeRed;"><strong><span style="color: OrangeRed;"><strong><span style="color: OrangeRed;"><strong><span style="color: OrangeRed;"><strong><span style="color: OrangeRed;"><strong><span style="color: OrangeRed;"><strong><span style="color: OrangeRed;">RNA</span></strong></span></strong></span></strong></span></strong></span></strong></span></strong></span></strong></span></strong></span></strong> and <strong><span style="color: MediumBlue;"><strong><span style="color: MediumBlue;"><strong><span style="color: MediumBlue;"><strong><span style="color: MediumBlue;"><strong><span style="color: MediumBlue;"><strong><span style="color: MediumBlue;"><strong><span style="color: MediumBlue;"><strong><span style="color: MediumBlue;"><strong><span style="color: MediumBlue;">DNA</span></strong></span></strong></span></strong></span></strong></span></strong></span></strong></span></strong></span></strong></span></strong>?</p>	<strong><span style="color: OrangeRed;">RNA</span></strong> is usually single-stranded (simplex), whereas <strong><span style="color: MediumBlue;">DNA</span></strong> is usually double-stranded (duplex)	Incorrect	<strong><span style="color: OrangeRed;"><strong><span style="color: OrangeRed;">RNA</span></strong></span></strong> has a sugar-phosphate backbone, <strong><span style="color: MediumBlue;"><strong><span style="color: MediumBlue;">DNA</span></strong></span></strong> does not	Correct	Both <strong><span style="color: MediumBlue;">DNA</span></strong> and <strong><span style="color: OrangeRed;">RNA</span></strong> can form a double-stranded helix	Incorrect	<strong><span style="color: MediumBlue;">DNA</span></strong> nucleotides are missing the 2&prime; hydroxide (-OH) group	Incorrect	the <strong><span style="color: OrangeRed;">RNA</span></strong> sugar is ribose, <strong><span style="color: MediumBlue;">DNA</span></strong> has a different sugar	Incorrect
MC	<p>b99b_b52e</p> <p>Which one of the following statements is<strong> <span style="color: #127663;"><strong>TRUE</strong></span> </strong> about differences between <strong><span style="color: OrangeRed;"><strong><span style="color: OrangeRed;"><strong><span style="color: OrangeRed;"><strong><span style="color: OrangeRed;"><strong><span style="color: OrangeRed;"><strong><span style="color: OrangeRed;"><strong><span style="color: OrangeRed;">RNA</span></strong></span></strong></span></strong></span></strong></span></strong></span></strong></span></strong> and <strong><span style="color: MediumBlue;"><strong><span style="color: MediumBlue;"><strong><span style="color: MediumBlue;"><strong><span style="color: MediumBlue;"><strong><span style="color: MediumBlue;"><strong><span style="color: MediumBlue;"><strong><span style="color: MediumBlue;">DNA</span></strong></span></strong></span></strong></span></strong></span></strong></span></strong></span></strong>?</p>	double-stranded <strong><span style="color: OrangeRed;">RNA</span></strong> has major and minor grooves, double-stranded <strong><span style="color: MediumBlue;">DNA</span></strong> does not	Incorrect	<strong><span style="color: OrangeRed;">RNA</span></strong> nucleotides are missing the 2&prime; hydroxide (-OH) group compared to <strong><span style="color: MediumBlue;">DNA</span></strong>	Incorrect	<strong><span style="color: MediumBlue;"><strong><span style="color: MediumBlue;">DNA</span></strong></span></strong> is usually double-stranded (duplex), whereas <strong><span style="color: OrangeRed;"><strong><span style="color: OrangeRed;">RNA</span></strong></span></strong> is usually single-stranded (simplex)	Correct	<strong><span style="color: MediumBlue;">DNA</span></strong> is made of nucleotides, <strong><span style="color: OrangeRed;">RNA</span></strong> is made of amino acids	Incorrect	double-stranded <strong><span style="color: MediumBlue;">DNA</span></strong> is mostly in the A-form helix, whereas double-stranded <strong><span style="color: OrangeRed;">RNA</span></strong> is mostly in the B-form helix	Incorrect
MC	<p>c9eb_3c31</p> <p>Which one of the following statements is<strong> <span style="color: #127663;"><strong>TRUE</strong></span> </strong> about differences between <strong><span style="color: OrangeRed;"><strong><span style="color: OrangeRed;"><strong><span style="color: OrangeRed;"><strong><span style="color: OrangeRed;"><strong><span style="color: OrangeRed;">RNA</span></strong></span></strong></span></strong></span></strong></span></strong> and <strong><span style="color: MediumBlue;"><strong><span style="color: MediumBlue;"><strong><span style="color: MediumBlue;"><strong><span style="color: MediumBlue;"><strong><span style="color: MediumBlue;">DNA</span></strong></span></strong></span></strong></span></strong></span></strong>?</p>	<strong><span style="color: OrangeRed;">RNA</span></strong> has a sugar-phosphate backbone, <strong><span style="color: MediumBlue;">DNA</span></strong> does not	Incorrect	double-stranded <strong><span style="color: MediumBlue;">DNA</span></strong> is mostly in the A-form helix, whereas double-stranded <strong><span style="color: OrangeRed;">RNA</span></strong> is mostly in the B-form helix	Incorrect	the <strong><span style="color: MediumBlue;">DNA</span></strong> sugar is ribose, <strong><span style="color: OrangeRed;">RNA</span></strong> has a different sugar	Incorrect	<strong><span style="color: OrangeRed;">RNA</span></strong> nucleotides are missing the 2&prime; hydroxide (-OH) group compared to <strong><span style="color: MediumBlue;">DNA</span></strong>	Incorrect	<strong><span style="color: MediumBlue;"><strong><span style="color: MediumBlue;">DNA</span></strong></span></strong> is usually double-stranded (duplex), whereas <strong><span style="color: OrangeRed;"><strong><span style="color: OrangeRed;">RNA</span></strong></span></strong> is usually single-stranded (simplex)	Correct
MC	<p>2c5b_f8ba</p> <p>Which one of the following statements is<strong> <span style="color: #127663;"><strong>TRUE</strong></span> </strong> about differences between <strong><span style="color: OrangeRed;"><strong><span style="color: OrangeRed;">RNA</span></strong></span></strong> and <strong><span style="color: MediumBlue;"><strong><span style="color: MediumBlue;">DNA</span></strong></span></strong>?</p>	<strong><span style="color: OrangeRed;">RNA</span></strong> has a regular consistent structure, whereas <strong><span style="color: MediumBlue;">DNA</span></strong> adopts a wide variety of tertiary structures	Incorrect	<strong><span style="color: OrangeRed;">RNA</span></strong> cannot form a double-stranded helix	Incorrect	<strong><span style="color: MediumBlue;">DNA</span></strong> is usually single-stranded (simplex), whereas <strong><span style="color: OrangeRed;">RNA</span></strong> is usually double-stranded (duplex)	Incorrect	double-stranded <strong><span style="color: OrangeRed;">RNA</span></strong> is mostly in the B-form helix, whereas double-stranded <strong><span style="color: MediumBlue;">DNA</span></strong> is mostly in the A-form helix	Incorrect	uracil in <strong><span style="color: OrangeRed;"><strong><span style="color: OrangeRed;">RNA</span></strong></span></strong> takes the place of thymine in <strong><span style="color: MediumBlue;"><strong><span style="color: MediumBlue;">DNA</span></strong></span></strong>	Correct
MC	<p>66d2_c42c</p> <p>Which one of the following statements is<strong> <span style="color: #127663;"><strong>TRUE</strong></span> </strong> about differences between <strong><span style="color: OrangeRed;"><strong><span style="color: OrangeRed;"><strong><span style="color: OrangeRed;"><strong><span style="color: OrangeRed;"><strong><span style="color: OrangeRed;"><strong><span style="color: OrangeRed;"><strong><span style="color: OrangeRed;"><strong><span style="color: OrangeRed;"><strong><span style="color: OrangeRed;"><strong><span style="color: OrangeRed;"><strong><span style="color: OrangeRed;"><strong><span style="color: OrangeRed;"><strong><span style="color: OrangeRed;"><strong><span style="color: OrangeRed;"><strong><span style="color: OrangeRed;">RNA</span></strong></span></strong></span></strong></span></strong></span></strong></span></strong></span></strong></span></strong></span></strong></span></strong></span></strong></span></strong></span></strong></span></strong></span></strong> and <strong><span style="color: MediumBlue;"><strong><span style="color: MediumBlue;"><strong><span style="color: MediumBlue;"><strong><span style="color: MediumBlue;"><strong><span style="color: MediumBlue;"><strong><span style="color: MediumBlue;"><strong><span style="color: MediumBlue;"><strong><span style="color: MediumBlue;"><strong><span style="color: MediumBlue;"><strong><span style="color: MediumBlue;"><strong><span style="color: MediumBlue;"><strong><span style="color: MediumBlue;"><strong><span style="color: MediumBlue;"><strong><span style="color: MediumBlue;"><strong><span style="color: MediumBlue;">DNA</span></strong></span></strong></span></strong></span></strong></span></strong></span></strong></span></strong></span></strong></span></strong></span></strong></span></strong></span></strong></span></strong></span></strong></span></strong>?</p>	uracil in <strong><span style="color: OrangeRed;"><strong><span style="color: OrangeRed;">RNA</span></strong></span></strong> takes the place of thymine in <strong><span style="color: MediumBlue;"><strong><span style="color: MediumBlue;">DNA</span></strong></span></strong>	Correct	<strong><span style="color: MediumBlue;">DNA</span></strong> nucleotides are missing the 4&prime; hydroxide (-OH) group compared to <strong><span style="color: OrangeRed;">RNA</span></strong>	Incorrect	<strong><span style="color: MediumBlue;">DNA</span></strong> adopts a wide variety of tertiary structures	Incorrect	double-stranded <strong><span style="color: MediumBlue;">DNA</span></strong> is mostly in the A-form helix, whereas double-stranded <strong><span style="color: OrangeRed;">RNA</span></strong> is mostly in the B-form helix	Incorrect	<strong><span style="color: MediumBlue;">DNA</span></strong> is made of nucleotides, <strong><span style="color: OrangeRed;">RNA</span></strong> is made of amino acids	Incorrect
MC	<p>efe6_ffa5</p> <p>Which one of the following statements is<strong> <span style="color: #127663;"><strong>TRUE</strong></span> </strong> about differences between <strong><span style="color: OrangeRed;"><strong><span style="color: OrangeRed;"><strong><span style="color: OrangeRed;"><strong><span style="color: OrangeRed;"><strong><span style="color: OrangeRed;"><strong><span style="color: OrangeRed;"><strong><span style="color: OrangeRed;"><strong><span style="color: OrangeRed;"><strong><span style="color: OrangeRed;"><strong><span style="color: OrangeRed;"><strong><span style="color: OrangeRed;"><strong><span style="color: OrangeRed;"><strong><span style="color: OrangeRed;"><strong><span style="color: OrangeRed;"><strong><span style="color: OrangeRed;"><strong><span style="color: OrangeRed;">RNA</span></strong></span></strong></span></strong></span></strong></span></strong></span></strong></span></strong></span></strong></span></strong></span></strong></span></strong></span></strong></span></strong></span></strong></span></strong></span></strong> and <strong><span style="color: MediumBlue;"><strong><span style="color: MediumBlue;"><strong><span style="color: MediumBlue;"><strong><span style="color: MediumBlue;"><strong><span style="color: MediumBlue;"><strong><span style="color: MediumBlue;"><strong><span style="color: MediumBlue;"><strong><span style="color: MediumBlue;"><strong><span style="color: MediumBlue;"><strong><span style="color: MediumBlue;"><strong><span style="color: MediumBlue;"><strong><span style="color: MediumBlue;"><strong><span style="color: MediumBlue;"><strong><span style="color: MediumBlue;"><strong><span style="color: MediumBlue;"><strong><span style="color: MediumBlue;">DNA</span></strong></span></strong></span></strong></span></strong></span></strong></span></strong></span></strong></span></strong></span></strong></span></strong></span></strong></span></strong></span></strong></span></strong></span></strong></span></strong>?</p>	<strong><span style="color: MediumBlue;">DNA</span></strong> is made of nucleotides, <strong><span style="color: OrangeRed;">RNA</span></strong> is made of amino acids	Incorrect	double-stranded <strong><span style="color: MediumBlue;">DNA</span></strong> has major and minor grooves, double-stranded <strong><span style="color: OrangeRed;">RNA</span></strong> does not	Incorrect	<strong><span style="color: MediumBlue;">DNA</span></strong> is usually single-stranded (simplex), whereas <strong><span style="color: OrangeRed;">RNA</span></strong> is usually double-stranded (duplex)	Incorrect	<strong><span style="color: MediumBlue;"><strong><span style="color: MediumBlue;">DNA</span></strong></span></strong> has a regular consistent structure	Correct	<strong><span style="color: MediumBlue;">DNA</span></strong> has a negative charge, <strong><span style="color: OrangeRed;">RNA</span></strong> has a positive charge	Incorrect
MC	<p>7209_b7ea</p> <p>Which one of the following statements is<strong> <span style="color: #127663;"><strong>TRUE</strong></span> </strong> about differences between <strong><span style="color: OrangeRed;"><strong><span style="color: OrangeRed;"><strong><span style="color: OrangeRed;">RNA</span></strong></span></strong></span></strong> and <strong><span style="color: MediumBlue;"><strong><span style="color: MediumBlue;"><strong><span style="color: MediumBlue;">DNA</span></strong></span></strong></span></strong>?</p>	<strong><span style="color: MediumBlue;">DNA</span></strong> can form a double-stranded helix, but <strong><span style="color: OrangeRed;">RNA</span></strong> cannot	Incorrect	<strong><span style="color: OrangeRed;">RNA</span></strong> contains one less hydroxyl (-OH) group than <strong><span style="color: MediumBlue;">DNA</span></strong>	Incorrect	the <strong><span style="color: MediumBlue;">DNA</span></strong> sugar is ribose, <strong><span style="color: OrangeRed;">RNA</span></strong> has a different sugar	Incorrect	<strong><span style="color: MediumBlue;"><strong><span style="color: MediumBlue;">DNA</span></strong></span></strong> has a regular consistent structure	Correct	<strong><span style="color: MediumBlue;">DNA</span></strong> is usually single-stranded (simplex), whereas <strong><span style="color: OrangeRed;">RNA</span></strong> is usually double-stranded (duplex)	Incorrect
MC	<p>4eff_89c4</p> <p>Which one of the following statements is<strong> <span style="color: #ba372a;"><strong>FALSE</strong></span> </strong> regarding differences between <strong><span style="color: OrangeRed;"><strong><span style="color: OrangeRed;">RNA</span></strong></span></strong> and <strong><span style="color: MediumBlue;"><strong><span style="color: MediumBlue;">DNA</span></strong></span></strong>?</p>	<strong><span style="color: OrangeRed;">RNA</span></strong> can form a double-stranded helix	Incorrect	thymine in <strong><span style="color: MediumBlue;">DNA</span></strong> takes the place of uracil in <strong><span style="color: OrangeRed;">RNA</span></strong>	Incorrect	<strong><span style="color: MediumBlue;"><strong><span style="color: MediumBlue;">DNA</span></strong></span></strong> nucleotides have a 2&prime; hydroxide (-OH) group, <strong><span style="color: OrangeRed;"><strong><span style="color: OrangeRed;">RNA</span></strong></span></strong> does not	Correct	double-stranded <strong><span style="color: MediumBlue;">DNA</span></strong> is mostly in the B-form helix, whereas double-stranded <strong><span style="color: OrangeRed;">RNA</span></strong> is mostly in the A-form helix	Incorrect	<strong><span style="color: OrangeRed;">RNA</span></strong> is usually single-stranded (simplex), whereas <strong><span style="color: MediumBlue;">DNA</span></strong> is usually double-stranded (duplex)	Incorrect
