MC	<p>adf5_ef60</p> <p>Which one of the following statements is<strong> <span style="color: #ba372a;"><strong>FALSE</strong></span> </strong> about enzyme&nbsp;inhibitors?</p>	<strong><span style="color: #076dad;">Uncompetitive&nbsp;inhibitors</span></strong> compete with the<strong> <span style="color: #b74300;">substrate</span></strong> for <strong><span style="color: #c80085;"><strong><span style="color: #c80085;">active site</span></strong></span></strong> binding.	Correct	<strong><span style="color: #935d00;">Enzyme&nbsp;inhibitors</span></strong> can be used as therapeutic agents to treat a variety of diseases.	Incorrect	<strong><span style="color: #3b7600;">Noncompetitive&nbsp;inhibitors</span></strong> do<strong> <strong>NOT</strong> </strong>bind the <strong><span style="color: #c80085;">active site</span></strong>, but can reduce <strong><span style="color: #c80085;">active site</span></strong> activity.	Incorrect	<strong><span style="color: #076dad;">Uncompetitive&nbsp;inhibitors</span></strong> bind to the <strong><span style="color: #6c6c00;">enzyme-substrate complex</span></strong> and prevent product formation.	Incorrect
MC	<p>adf5_7fbb</p> <p>Which one of the following statements is<strong> <span style="color: #ba372a;"><strong>FALSE</strong></span> </strong> about enzyme&nbsp;inhibitors?</p>	<strong><span style="color: #076dad;">Uncompetitive&nbsp;inhibitors</span></strong> have a higher affinity for the free enzyme than for the <strong><span style="color: #6c6c00;"><strong><span style="color: #6c6c00;">enzyme-substrate complex</span></strong></span></strong>.	Correct	<strong><span style="color: #935d00;">Enzyme&nbsp;inhibitors</span></strong> can be used as probes to study enzyme structure and function.	Incorrect	<strong><span style="color: #3b7600;">Noncompetitive&nbsp;inhibitors</span></strong> bind to a site on the enzyme that is distinct from the <strong><span style="color: #c80085;">active site</span></strong>	Incorrect	<strong><span style="color: #d40000;">Competitive&nbsp;inhibitors</span></strong> can be overcome by increasing the concentration of the<strong> <span style="color: #b74300;">substrate</span></strong>.	Incorrect
MC	<p>c051_0570</p> <p>Which one of the following statements is<strong> <span style="color: #127663;"><strong>TRUE</strong></span> </strong> about enzyme&nbsp;inhibitors?</p>	<strong><span style="color: #d40000;">Competitive&nbsp;inhibitors</span></strong> bind to a site on the enzyme that is distinct from the <strong><span style="color: #c80085;">active site</span></strong>.	Incorrect	<strong><span style="color: #935d00;">Enzyme&nbsp;inhibitors</span></strong> can be used as therapeutic agents to treat a variety of diseases.	Correct	<strong><span style="color: #d40000;">Competitive&nbsp;inhibitors</span></strong> bind to the <strong><span style="color: #6c6c00;">enzyme-substrate complex</span></strong> and prevent product formation.	Incorrect	<strong><span style="color: #3b7600;">Noncompetitive&nbsp;inhibitors</span></strong> bind to the <strong><span style="color: #c80085;">active site</span></strong> of an enzyme.	Incorrect
MC	<p>adf5_e2de</p> <p>Which one of the following statements is<strong> <span style="color: #ba372a;"><strong>FALSE</strong></span> </strong> about enzyme&nbsp;inhibitors?</p>	<strong><span style="color: #076dad;">Uncompetitive&nbsp;inhibitors</span></strong> bind to the enzyme and prevent<strong> <span style="color: #b74300;">substrate</span></strong> binding.	Correct	<strong><span style="color: #935d00;">Enzyme&nbsp;inhibitors</span></strong> can be used as therapeutic agents to treat a variety of diseases.	Incorrect	<strong><span style="color: #3b7600;">Noncompetitive&nbsp;inhibitors</span></strong> do<strong> <strong>NOT</strong> </strong>bind the <strong><span style="color: #c80085;">active site</span></strong>, but can reduce <strong><span style="color: #c80085;">active site</span></strong> activity.	Incorrect	<strong><span style="color: #076dad;">Uncompetitive&nbsp;inhibitors</span></strong> have a higher affinity for the <strong><span style="color: #6c6c00;">enzyme-substrate complex</span></strong> than for the free enzyme.	Incorrect
MC	<p>c051_722c</p> <p>Which one of the following statements is<strong> <span style="color: #127663;"><strong>TRUE</strong></span> </strong> about enzyme&nbsp;inhibitors?</p>	<strong><span style="color: #d40000;">Competitive&nbsp;inhibitors</span></strong> bind to a site on the enzyme that is distinct from the <strong><span style="color: #c80085;">active site</span></strong>.	Incorrect	<strong><span style="color: #3b7600;">Noncompetitive&nbsp;inhibitors</span></strong> bind to the <strong><span style="color: #6c6c00;">enzyme-substrate complex</span></strong> and prevent product formation.	Incorrect	<strong><span style="color: #935d00;">Enzyme&nbsp;inhibitors</span></strong> completely block all enzyme activity regardless of their concentration.	Incorrect	<strong><span style="color: #d40000;">Competitive&nbsp;inhibitors</span></strong> compete with the<strong> <span style="color: #b74300;">substrate</span></strong> for <strong><span style="color: #c80085;"><strong><span style="color: #c80085;">active site</span></strong></span></strong> binding.	Correct
MC	<p>adf5_e856</p> <p>Which one of the following statements is<strong> <span style="color: #ba372a;"><strong>FALSE</strong></span> </strong> about enzyme&nbsp;inhibitors?</p>	<strong><span style="color: #935d00;">Enzyme&nbsp;inhibitors</span></strong> can be used as probes to study enzyme structure and function.	Incorrect	<strong><span style="color: #d40000;">Competitive&nbsp;inhibitors</span></strong> have a structure that is similar to the<strong> <span style="color: #b74300;">substrate</span></strong>.	Incorrect	<strong><span style="color: #3b7600;">Noncompetitive&nbsp;inhibitors</span></strong> affect<strong> <span style="color: #b74300;">substrate</span></strong> binding, but do<strong> <strong>NOT</strong> </strong>decrease catalysis.	Correct	<strong><span style="color: #076dad;">Uncompetitive&nbsp;inhibitors</span></strong> have a higher affinity for the <strong><span style="color: #6c6c00;">enzyme-substrate complex</span></strong> than for the free enzyme.	Incorrect
MC	<p>c051_c6e9</p> <p>Which one of the following statements is<strong> <span style="color: #127663;"><strong>TRUE</strong></span> </strong> about enzyme&nbsp;inhibitors?</p>	<strong><span style="color: #076dad;">Uncompetitive&nbsp;inhibitors</span></strong> have a higher affinity for the <strong><span style="color: #6c6c00;"><strong><span style="color: #6c6c00;">enzyme-substrate complex</span></strong></span></strong> than for the free enzyme.	Correct	<strong><span style="color: #3b7600;">Noncompetitive&nbsp;inhibitors</span></strong> affect<strong> <span style="color: #b74300;">substrate</span></strong> binding, but do<strong> <strong>NOT</strong> </strong>decrease catalysis.	Incorrect	<strong><span style="color: #076dad;">Uncompetitive&nbsp;inhibitors</span></strong> bind to the enzyme and prevent<strong> <span style="color: #b74300;">substrate</span></strong> binding.	Incorrect	<strong><span style="color: #935d00;">Enzyme&nbsp;inhibitors</span></strong> completely block all enzyme activity regardless of their concentration.	Incorrect
MC	<p>c051_33c1</p> <p>Which one of the following statements is<strong> <span style="color: #127663;"><strong>TRUE</strong></span> </strong> about enzyme&nbsp;inhibitors?</p>	<strong><span style="color: #076dad;">Uncompetitive&nbsp;inhibitors</span></strong> bind to the <strong><span style="color: #6c6c00;"><strong><span style="color: #6c6c00;">enzyme-substrate complex</span></strong></span></strong> and prevent product formation.	Correct	<strong><span style="color: #935d00;">Enzyme&nbsp;inhibitors</span></strong> completely block all enzyme activity regardless of their concentration.	Incorrect	<strong><span style="color: #d40000;">Competitive&nbsp;inhibitors</span></strong> do<strong> <strong>NOT</strong> </strong>bind to the <strong><span style="color: #c80085;">active site</span></strong> of an enzyme.	Incorrect	<strong><span style="color: #3b7600;">Noncompetitive&nbsp;inhibitors</span></strong> affect<strong> <span style="color: #b74300;">substrate</span></strong> binding, but do<strong> <strong>NOT</strong> </strong>decrease catalysis.	Incorrect
MC	<p>adf5_24ca</p> <p>Which one of the following statements is<strong> <span style="color: #ba372a;"><strong>FALSE</strong></span> </strong> about enzyme&nbsp;inhibitors?</p>	<strong><span style="color: #076dad;">Uncompetitive&nbsp;inhibitors</span></strong> have a higher affinity for the <strong><span style="color: #6c6c00;">enzyme-substrate complex</span></strong> than for the free enzyme.	Incorrect	<strong><span style="color: #3b7600;">Noncompetitive&nbsp;inhibitors</span></strong> do<strong> <strong>NOT</strong> </strong>bind the <strong><span style="color: #c80085;">active site</span></strong>, but can reduce <strong><span style="color: #c80085;">active site</span></strong> activity.	Incorrect	<strong><span style="color: #935d00;">Enzyme&nbsp;inhibitors</span></strong> can be used as therapeutic agents to treat a variety of diseases.	Incorrect	<strong><span style="color: #d40000;">Competitive&nbsp;inhibitors</span></strong> do<strong> <strong>NOT</strong> </strong>bind to the enzyme to prevent<strong> <span style="color: #b74300;">substrate</span></strong> binding.	Correct
MC	<p>c051_d271</p> <p>Which one of the following statements is<strong> <span style="color: #127663;"><strong>TRUE</strong></span> </strong> about enzyme&nbsp;inhibitors?</p>	<strong><span style="color: #935d00;">Enzyme&nbsp;inhibitors</span></strong> can be used as probes to study enzyme structure and function.	Correct	<strong><span style="color: #d40000;">Competitive&nbsp;inhibitors</span></strong> do<strong> <strong>NOT</strong> </strong>bind to the <strong><span style="color: #c80085;">active site</span></strong> of an enzyme.	Incorrect	<strong><span style="color: #d40000;">Competitive&nbsp;inhibitors</span></strong> do<strong> <strong>NOT</strong> </strong>bind the <strong><span style="color: #c80085;">active site</span></strong>, but can reduce <strong><span style="color: #c80085;">active site</span></strong> activity.	Incorrect	<strong><span style="color: #3b7600;">Noncompetitive&nbsp;inhibitors</span></strong> bind to the <strong><span style="color: #6c6c00;">enzyme-substrate complex</span></strong> and prevent product formation.	Incorrect
MC	<p>adf5_a18a</p> <p>Which one of the following statements is<strong> <span style="color: #ba372a;"><strong>FALSE</strong></span> </strong> about enzyme&nbsp;inhibitors?</p>	<strong><span style="color: #076dad;">Uncompetitive&nbsp;inhibitors</span></strong> only bind to the <strong><span style="color: #6c6c00;">enzyme-substrate complex</span></strong>.	Incorrect	<strong><span style="color: #3b7600;">Noncompetitive&nbsp;inhibitors</span></strong> do<strong> <strong>NOT</strong> </strong>affect<strong> <span style="color: #b74300;">substrate</span></strong> binding, but they do decrease catalysis.	Incorrect	<strong><span style="color: #935d00;">Enzyme&nbsp;inhibitors</span></strong> can be used as probes to study enzyme structure and function.	Incorrect	<strong><span style="color: #3b7600;">Noncompetitive&nbsp;inhibitors</span></strong> compete with the<strong> <span style="color: #b74300;">substrate</span></strong> for <strong><span style="color: #c80085;"><strong><span style="color: #c80085;">active site</span></strong></span></strong> binding.	Correct
MC	<p>adf5_294e</p> <p>Which one of the following statements is<strong> <span style="color: #ba372a;"><strong>FALSE</strong></span> </strong> about enzyme&nbsp;inhibitors?</p>	<strong><span style="color: #076dad;">Uncompetitive&nbsp;inhibitors</span></strong> bind to the <strong><span style="color: #6c6c00;">enzyme-substrate complex</span></strong> and prevent product formation.	Incorrect	<strong><span style="color: #935d00;">Enzyme&nbsp;inhibitors</span></strong> can be used as therapeutic agents to treat a variety of diseases.	Incorrect	<strong><span style="color: #3b7600;">Noncompetitive&nbsp;inhibitors</span></strong> bind to a site on the enzyme that is distinct from the <strong><span style="color: #c80085;">active site</span></strong>	Incorrect	<strong><span style="color: #3b7600;">Noncompetitive&nbsp;inhibitors</span></strong> compete with the<strong> <span style="color: #b74300;">substrate</span></strong> for <strong><span style="color: #c80085;"><strong><span style="color: #c80085;">active site</span></strong></span></strong> binding.	Correct
MC	<p>adf5_cbf1</p> <p>Which one of the following statements is<strong> <span style="color: #ba372a;"><strong>FALSE</strong></span> </strong> about enzyme&nbsp;inhibitors?</p>	<strong><span style="color: #935d00;">Enzyme&nbsp;inhibitors</span></strong> can be used as therapeutic agents to treat a variety of diseases.	Incorrect	<strong><span style="color: #d40000;">Competitive&nbsp;inhibitors</span></strong> do<strong> <strong>NOT</strong> </strong>bind the <strong><span style="color: #c80085;"><strong><span style="color: #c80085;">active site</span></strong></span></strong>, but can alter <strong><span style="color: #c80085;"><strong><span style="color: #c80085;">active site</span></strong></span></strong> conformation.	Correct	<strong><span style="color: #d40000;">Competitive&nbsp;inhibitors</span></strong> can be overcome by increasing the concentration of the<strong> <span style="color: #b74300;">substrate</span></strong>.	Incorrect	<strong><span style="color: #076dad;">Uncompetitive&nbsp;inhibitors</span></strong> only bind to the <strong><span style="color: #6c6c00;">enzyme-substrate complex</span></strong>.	Incorrect
MC	<p>adf5_4fc4</p> <p>Which one of the following statements is<strong> <span style="color: #ba372a;"><strong>FALSE</strong></span> </strong> about enzyme&nbsp;inhibitors?</p>	<strong><span style="color: #3b7600;">Noncompetitive&nbsp;inhibitors</span></strong> only bind to the <strong><span style="color: #6c6c00;"><strong><span style="color: #6c6c00;">enzyme-substrate complex</span></strong></span></strong>.	Correct	<strong><span style="color: #d40000;">Competitive&nbsp;inhibitors</span></strong> compete with the<strong> <span style="color: #b74300;">substrate</span></strong> for <strong><span style="color: #c80085;">active site</span></strong> binding.	Incorrect	<strong><span style="color: #3b7600;">Noncompetitive&nbsp;inhibitors</span></strong> do<strong> <strong>NOT</strong> </strong>bind the <strong><span style="color: #c80085;">active site</span></strong>, but can reduce <strong><span style="color: #c80085;">active site</span></strong> activity.	Incorrect	<strong><span style="color: #935d00;">Enzyme&nbsp;inhibitors</span></strong> can be used as therapeutic agents to treat a variety of diseases.	Incorrect
MC	<p>adf5_f7cf</p> <p>Which one of the following statements is<strong> <span style="color: #ba372a;"><strong>FALSE</strong></span> </strong> about enzyme&nbsp;inhibitors?</p>	<strong><span style="color: #d40000;">Competitive&nbsp;inhibitors</span></strong> compete with the<strong> <span style="color: #b74300;">substrate</span></strong> for <strong><span style="color: #c80085;">active site</span></strong> binding.	Incorrect	<strong><span style="color: #3b7600;">Noncompetitive&nbsp;inhibitors</span></strong> do<strong> <strong>NOT</strong> </strong>affect<strong> <span style="color: #b74300;">substrate</span></strong> binding, but they do decrease catalysis.	Incorrect	<strong><span style="color: #d40000;">Competitive&nbsp;inhibitors</span></strong> have a higher affinity for the <strong><span style="color: #6c6c00;"><strong><span style="color: #6c6c00;">enzyme-substrate complex</span></strong></span></strong> than for the free enzyme.	Correct	<strong><span style="color: #935d00;">Enzyme&nbsp;inhibitors</span></strong> can be used as therapeutic agents to treat a variety of diseases.	Incorrect
MC	<p>adf5_7cee</p> <p>Which one of the following statements is<strong> <span style="color: #ba372a;"><strong>FALSE</strong></span> </strong> about enzyme&nbsp;inhibitors?</p>	<strong><span style="color: #3b7600;">Noncompetitive&nbsp;inhibitors</span></strong> bind to the <strong><span style="color: #c80085;"><strong><span style="color: #c80085;">active site</span></strong></span></strong> of an enzyme and compete with the<strong> <span style="color: #b74300;">substrate</span></strong> for binding.	Correct	<strong><span style="color: #076dad;">Uncompetitive&nbsp;inhibitors</span></strong> bind to the <strong><span style="color: #6c6c00;">enzyme-substrate complex</span></strong> and prevent product formation.	Incorrect	<strong><span style="color: #3b7600;">Noncompetitive&nbsp;inhibitors</span></strong> do<strong> <strong>NOT</strong> </strong>affect<strong> <span style="color: #b74300;">substrate</span></strong> binding, but they do decrease catalysis.	Incorrect	<strong><span style="color: #935d00;">Enzyme&nbsp;inhibitors</span></strong> can be used as probes to study enzyme structure and function.	Incorrect
MC	<p>c051_4902</p> <p>Which one of the following statements is<strong> <span style="color: #127663;"><strong>TRUE</strong></span> </strong> about enzyme&nbsp;inhibitors?</p>	<strong><span style="color: #935d00;">Enzyme&nbsp;inhibitors</span></strong> completely block all enzyme activity regardless of their concentration.	Incorrect	<strong><span style="color: #3b7600;">Noncompetitive&nbsp;inhibitors</span></strong> affect<strong> <span style="color: #b74300;">substrate</span></strong> binding, but do<strong> <strong>NOT</strong> </strong>decrease catalysis.	Incorrect	<strong><span style="color: #d40000;">Competitive&nbsp;inhibitors</span></strong> have a higher affinity for the <strong><span style="color: #6c6c00;">enzyme-substrate complex</span></strong> than for the free enzyme.	Incorrect	<strong><span style="color: #d40000;">Competitive&nbsp;inhibitors</span></strong> bind to the <strong><span style="color: #c80085;"><strong><span style="color: #c80085;">active site</span></strong></span></strong> of an enzyme.	Correct
MC	<p>adf5_daa8</p> <p>Which one of the following statements is<strong> <span style="color: #ba372a;"><strong>FALSE</strong></span> </strong> about enzyme&nbsp;inhibitors?</p>	<strong><span style="color: #d40000;">Competitive&nbsp;inhibitors</span></strong> can be overcome by increasing the concentration of the<strong> <span style="color: #b74300;">substrate</span></strong>.	Incorrect	<strong><span style="color: #076dad;">Uncompetitive&nbsp;inhibitors</span></strong> bind to the <strong><span style="color: #6c6c00;">enzyme-substrate complex</span></strong> and prevent product formation.	Incorrect	<strong><span style="color: #935d00;">Enzyme&nbsp;inhibitors</span></strong> can be used as therapeutic agents to treat a variety of diseases.	Incorrect	<strong><span style="color: #d40000;">Competitive&nbsp;inhibitors</span></strong> do<strong> <strong>NOT</strong> </strong>affect<strong> <span style="color: #b74300;">substrate</span></strong> binding, but they do decrease catalysis.	Correct
MC	<p>adf5_6e13</p> <p>Which one of the following statements is<strong> <span style="color: #ba372a;"><strong>FALSE</strong></span> </strong> about enzyme&nbsp;inhibitors?</p>	<strong><span style="color: #076dad;">Uncompetitive&nbsp;inhibitors</span></strong> have a higher affinity for the <strong><span style="color: #6c6c00;">enzyme-substrate complex</span></strong> than for the free enzyme.	Incorrect	<strong><span style="color: #d40000;">Competitive&nbsp;inhibitors</span></strong> do<strong> <strong>NOT</strong> </strong>bind to the <strong><span style="color: #c80085;"><strong><span style="color: #c80085;">active site</span></strong></span></strong> of an enzyme.	Correct	<strong><span style="color: #3b7600;">Noncompetitive&nbsp;inhibitors</span></strong> bind to a site on the enzyme that is distinct from the <strong><span style="color: #c80085;">active site</span></strong>	Incorrect	<strong><span style="color: #935d00;">Enzyme&nbsp;inhibitors</span></strong> can be used as probes to study enzyme structure and function.	Incorrect
MC	<p>c051_3342</p> <p>Which one of the following statements is<strong> <span style="color: #127663;"><strong>TRUE</strong></span> </strong> about enzyme&nbsp;inhibitors?</p>	<strong><span style="color: #d40000;">Competitive&nbsp;inhibitors</span></strong> bind to the <strong><span style="color: #c80085;"><strong><span style="color: #c80085;">active site</span></strong></span></strong> of an enzyme and compete with the<strong> <span style="color: #b74300;">substrate</span></strong> for binding.	Correct	<strong><span style="color: #935d00;">Enzyme&nbsp;inhibitors</span></strong> completely block all enzyme activity regardless of their concentration.	Incorrect	<strong><span style="color: #d40000;">Competitive&nbsp;inhibitors</span></strong> do<strong> <strong>NOT</strong> </strong>affect<strong> <span style="color: #b74300;">substrate</span></strong> binding, but they do decrease catalysis.	Incorrect	<strong><span style="color: #3b7600;">Noncompetitive&nbsp;inhibitors</span></strong> bind to the <strong><span style="color: #6c6c00;">enzyme-substrate complex</span></strong> and prevent product formation.	Incorrect
MC	<p>adf5_0fa2</p> <p>Which one of the following statements is<strong> <span style="color: #ba372a;"><strong>FALSE</strong></span> </strong> about enzyme&nbsp;inhibitors?</p>	<strong><span style="color: #3b7600;">Noncompetitive&nbsp;inhibitors</span></strong> do<strong> <strong>NOT</strong> </strong>bind the <strong><span style="color: #c80085;">active site</span></strong>, but can alter <strong><span style="color: #c80085;">active site</span></strong> conformation.	Incorrect	<strong><span style="color: #d40000;">Competitive&nbsp;inhibitors</span></strong> do<strong> <strong>NOT</strong> </strong>compete with the<strong> <span style="color: #b74300;">substrate</span></strong> for <strong><span style="color: #c80085;"><strong><span style="color: #c80085;">active site</span></strong></span></strong> binding.	Correct	<strong><span style="color: #935d00;">Enzyme&nbsp;inhibitors</span></strong> can be used as probes to study enzyme structure and function.	Incorrect	<strong><span style="color: #076dad;">Uncompetitive&nbsp;inhibitors</span></strong> bind to the <strong><span style="color: #6c6c00;">enzyme-substrate complex</span></strong> and prevent product formation.	Incorrect
MC	<p>adf5_3a6a</p> <p>Which one of the following statements is<strong> <span style="color: #ba372a;"><strong>FALSE</strong></span> </strong> about enzyme&nbsp;inhibitors?</p>	<strong><span style="color: #d40000;">Competitive&nbsp;inhibitors</span></strong> do<strong> <strong>NOT</strong> </strong>bind to the <strong><span style="color: #c80085;"><strong><span style="color: #c80085;">active site</span></strong></span></strong> of an enzyme.	Correct	<strong><span style="color: #3b7600;">Noncompetitive&nbsp;inhibitors</span></strong> do<strong> <strong>NOT</strong> </strong>bind the <strong><span style="color: #c80085;">active site</span></strong>, but can reduce <strong><span style="color: #c80085;">active site</span></strong> activity.	Incorrect	<strong><span style="color: #076dad;">Uncompetitive&nbsp;inhibitors</span></strong> bind to the <strong><span style="color: #6c6c00;">enzyme-substrate complex</span></strong> and prevent product formation.	Incorrect	<strong><span style="color: #935d00;">Enzyme&nbsp;inhibitors</span></strong> can be used as therapeutic agents to treat a variety of diseases.	Incorrect
