MC	<p>097f_9af1</p> <p>Which one of the following statements is<strong> <span style="color: #127663;"><strong>TRUE</strong></span> </strong> concerning vision and hearing transduction?</p>	Photon absorption changes <strong><strong>retinal</strong></strong> shape and activates <strong><strong>rhodopsin</strong></strong>.	Correct	Light opens sodium channels in rods and increases inward current.	Incorrect	Rhodopsin is an ion channel that directly conducts photons into the cell.	Incorrect	Hair cells detect sound by photoreception in the cochlea.	Incorrect	Tip links prevent ion channels from opening and block mechanotransduction.	Incorrect
MC	<p>4106_af4a</p> <p>Which one of the following statements is<strong> <span style="color: #ba372a;"><strong>FALSE</strong></span> </strong> about vision and hearing transduction?</p>	Dark current in rods is supported by <strong>cGMP</strong> gated channel opening.	Incorrect	Tip links connect stereocilia and contribute to opening mechanosensitive transduction channels.	Incorrect	Rhodopsin consists of an opsin protein plus a <strong>retinal</strong> chromophore.	Incorrect	Phototransduction activates adenylyl cyclase to raise cAMP in rods.	Correct	Rod photoreceptors hyperpolarize in response to light.	Incorrect
MC	<p>097f_5c75</p> <p>Which one of the following statements is<strong> <span style="color: #127663;"><strong>TRUE</strong></span> </strong> concerning vision and hearing transduction?</p>	Hearing relies mainly on GPCR signaling cascades that take seconds to operate.	Incorrect	Hair cells depolarize mainly because <strong>Na<sup>+</sup></strong> enters from endolymph through ENaC channels.	Incorrect	Cones are more sensitive to dim light than rods.	Incorrect	<strong>phosphodiesterase (PDE)</strong> terminates signals by producing <strong>cGMP</strong> in the outer segment.	Incorrect	In rods, activated <strong><strong>rhodopsin</strong></strong> activates a G protein that leads to phosphodiesterase activation.	Correct
MC	<p>097f_341a</p> <p>Which one of the following statements is<strong> <span style="color: #127663;"><strong>TRUE</strong></span> </strong> concerning vision and hearing transduction?</p>	Hair cells do<strong> <strong>NOT</strong> </strong>use synapses and communicate only by gap junctions to the auditory nerve.	Incorrect	Rods are unusual because the light response is hyperpolarization,<strong> <strong>NOT</strong> </strong>depolarization.	Correct	Rods are responsible for most color discrimination in bright light.	Incorrect	Hair cells depolarize mainly because <strong>K<sup>+</sup></strong> leaves the cell into endolymph when stereocilia deflect.	Incorrect	Rod photoreceptors depolarize strongly in response to light.	Incorrect
MC	<p>097f_df47</p> <p>Which one of the following statements is<strong> <span style="color: #127663;"><strong>TRUE</strong></span> </strong> concerning vision and hearing transduction?</p>	Cones are more sensitive to dim light than rods.	Incorrect	Rhodopsin is an ion channel that directly conducts photons into the cell.	Incorrect	Hair cells release neurotransmitter to afferent neurons when depolarized.	Correct	Rod photoreceptors depolarize strongly in response to light.	Incorrect	Hair cells depolarize mainly because <strong>Na<sup>+</sup></strong> enters from endolymph through ENaC channels.	Incorrect
MC	<p>4106_c583</p> <p>Which one of the following statements is<strong> <span style="color: #ba372a;"><strong>FALSE</strong></span> </strong> about vision and hearing transduction?</p>	Light causes <strong>retinal</strong> isomerization that triggers a conformational change in opsin.	Incorrect	<strong>K<sup>+</sup></strong> influx from endolymph can drive hair cell depolarization.	Incorrect	<strong>phosphodiesterase (<strong>phosphodiesterase (PDE)</strong>)</strong> increases <strong><strong>cGMP</strong></strong> concentration by synthesizing it from GTP.	Correct	Hair cell signaling to the auditory nerve occurs through synaptic transmission.	Incorrect	Hearing depends on mechanotransduction in hair cells of the inner ear.	Incorrect
MC	<p>097f_0ed3</p> <p>Which one of the following statements is<strong> <span style="color: #127663;"><strong>TRUE</strong></span> </strong> concerning vision and hearing transduction?</p>	Rods are unusual because the light response is hyperpolarization,<strong> <strong>NOT</strong> </strong>depolarization.	Correct	Activated <strong>rhodopsin</strong> directly converts ATP into <strong>cGMP</strong> without enzymes.	Incorrect	Rod <strong>CNG</strong> channels open when <strong>cGMP</strong> levels fall.	Incorrect	Rod photoreceptors depolarize strongly in response to light.	Incorrect	<strong>phosphodiesterase (PDE)</strong> increases <strong>cGMP</strong> concentration by synthesizing it from GTP.	Incorrect
MC	<p>4106_973f</p> <p>Which one of the following statements is<strong> <span style="color: #ba372a;"><strong>FALSE</strong></span> </strong> about vision and hearing transduction?</p>	Light reduces inward current in rods, causing hyperpolarization.	Incorrect	In rods, light increases <strong><strong>cGMP</strong></strong> to open more <strong><strong>CNG</strong></strong> channels.	Correct	Hair cell depolarization can occur when <strong>K<sup>+</sup></strong> enters from <strong>K<sup>+</sup></strong> rich endolymph.	Incorrect	Dark current in rods is supported by <strong>cGMP</strong> gated channel opening.	Incorrect	Rods are more sensitive to low light than cones.	Incorrect
MC	<p>097f_35b3</p> <p>Which one of the following statements is<strong> <span style="color: #127663;"><strong>TRUE</strong></span> </strong> concerning vision and hearing transduction?</p>	Rods are responsible for most color discrimination in bright light.	Incorrect	Rhodopsin is a receptor tyrosine kinase that phosphorylates <strong>retinal</strong>.	Incorrect	Light reduces inward current in rods, causing hyperpolarization.	Correct	Hair cells detect sound by photoreception in the cochlea.	Incorrect	Tip links prevent ion channels from opening and block mechanotransduction.	Incorrect
MC	<p>097f_9c90</p> <p>Which one of the following statements is<strong> <span style="color: #127663;"><strong>TRUE</strong></span> </strong> concerning vision and hearing transduction?</p>	Rhodopsin is an ion channel that directly conducts photons into the cell.	Incorrect	Activated <strong>rhodopsin</strong> directly converts ATP into <strong>cGMP</strong> without enzymes.	Incorrect	Phototransduction reduces <strong><strong>cGMP</strong></strong> by increasing its breakdown.	Correct	Cones are more sensitive to dim light than rods.	Incorrect	Light opens sodium channels in rods and increases inward current.	Incorrect
MC	<p>4106_09e5</p> <p>Which one of the following statements is<strong> <span style="color: #ba372a;"><strong>FALSE</strong></span> </strong> about vision and hearing transduction?</p>	Rods are unusual because the light response is hyperpolarization,<strong> <strong>NOT</strong> </strong>depolarization.	Incorrect	Phototransduction reduces <strong>cGMP</strong> by increasing its breakdown.	Incorrect	Dark current is produced by closing <strong><strong>CNG</strong></strong> channels in rod outer segments.	Correct	Tip links connect stereocilia and contribute to opening mechanosensitive transduction channels.	Incorrect	Rods are more sensitive to low light than cones.	Incorrect
MC	<p>4106_7870</p> <p>Which one of the following statements is<strong> <span style="color: #ba372a;"><strong>FALSE</strong></span> </strong> about vision and hearing transduction?</p>	Phototransduction reduces <strong>cGMP</strong> by increasing its breakdown.	Incorrect	Light causes <strong>retinal</strong> isomerization that triggers a conformational change in opsin.	Incorrect	Lower <strong>cGMP</strong> closes <strong>CNG</strong> channels in rod outer segments.	Incorrect	Rhodopsin is formed when opsin binds <strong>retinal</strong>.	Incorrect	Hair cells send action potentials down the cochlea without neurotransmitter release.	Correct
MC	<p>4106_2924</p> <p>Which one of the following statements is<strong> <span style="color: #ba372a;"><strong>FALSE</strong></span> </strong> about vision and hearing transduction?</p>	Rods are unusual because the light response is hyperpolarization,<strong> <strong>NOT</strong> </strong>depolarization.	Incorrect	In rods, activated <strong>rhodopsin</strong> activates a G protein that leads to phosphodiesterase activation.	Incorrect	Rhodopsin consists of an opsin protein plus a <strong>retinal</strong> chromophore.	Incorrect	Hair cells depolarize mainly because <strong>K<sup>+</sup></strong> leaves the cell into endolymph when stereocilia deflect.	Correct	In darkness, rods have relatively high <strong>cGMP</strong> and open <strong>CNG</strong> channels.	Incorrect
MC	<p>4106_c7bb</p> <p>Which one of the following statements is<strong> <span style="color: #ba372a;"><strong>FALSE</strong></span> </strong> about vision and hearing transduction?</p>	<strong><strong>CNG</strong></strong> channels close in darkness because <strong><strong>cGMP</strong></strong> is highest in light.	Correct	Rhodopsin is formed when opsin binds <strong>retinal</strong>.	Incorrect	Photon absorption changes <strong>retinal</strong> shape and activates <strong>rhodopsin</strong>.	Incorrect	Unlike many sensory receptors that depolarize to stimulus, rods hyperpolarize to light.	Incorrect	In rods, activated <strong>rhodopsin</strong> activates a G protein that leads to phosphodiesterase activation.	Incorrect
MC	<p>4106_dd10</p> <p>Which one of the following statements is<strong> <span style="color: #ba372a;"><strong>FALSE</strong></span> </strong> about vision and hearing transduction?</p>	Unlike many sensory receptors that depolarize to stimulus, rods hyperpolarize to light.	Incorrect	Rod <strong>CNG</strong> channels close when <strong>cGMP</strong> levels fall.	Incorrect	Phototransduction activates adenylyl cyclase to raise cAMP in rods.	Correct	Mechanical tension through tip links can gate hair cell transduction channels.	Incorrect	Hearing depends on mechanotransduction in hair cells of the inner ear.	Incorrect
MC	<p>4106_6a22</p> <p>Which one of the following statements is<strong> <span style="color: #ba372a;"><strong>FALSE</strong></span> </strong> about vision and hearing transduction?</p>	Hair cell depolarization can occur when <strong>K<sup>+</sup></strong> enters from <strong>K<sup>+</sup></strong> rich endolymph.	Incorrect	Lower <strong>cGMP</strong> closes <strong>CNG</strong> channels in rod outer segments.	Incorrect	Hair cells release neurotransmitter to afferent neurons when depolarized.	Incorrect	Phototransduction activates adenylyl cyclase to raise cAMP in rods.	Correct	Photon absorption changes <strong>retinal</strong> shape and activates <strong>rhodopsin</strong>.	Incorrect
MC	<p>097f_d255</p> <p>Which one of the following statements is<strong> <span style="color: #127663;"><strong>TRUE</strong></span> </strong> concerning vision and hearing transduction?</p>	Rod photoreceptors hyperpolarize in response to light.	Correct	Phototransduction activates adenylyl cyclase to raise cAMP in rods.	Incorrect	Hearing relies mainly on GPCR signaling cascades that take seconds to operate.	Incorrect	In darkness, rods have low <strong>cGMP</strong> and all <strong>CNG</strong> channels are closed.	Incorrect	Cones are more sensitive to dim light than rods.	Incorrect
MC	<p>4106_0410</p> <p>Which one of the following statements is<strong> <span style="color: #ba372a;"><strong>FALSE</strong></span> </strong> about vision and hearing transduction?</p>	Rod <strong><strong>CNG</strong></strong> channels open when <strong><strong>cGMP</strong></strong> levels fall.	Correct	Photon absorption changes <strong>retinal</strong> shape and activates <strong>rhodopsin</strong>.	Incorrect	Phototransduction uses a G protein cascade that activates <strong>phosphodiesterase (PDE)</strong>.	Incorrect	In darkness, rods have relatively high <strong>cGMP</strong> and open <strong>CNG</strong> channels.	Incorrect	Hair cell signaling to the auditory nerve occurs through synaptic transmission.	Incorrect
MC	<p>4106_fd9b</p> <p>Which one of the following statements is<strong> <span style="color: #ba372a;"><strong>FALSE</strong></span> </strong> about vision and hearing transduction?</p>	Mechanical tension through tip links can gate hair cell transduction channels.	Incorrect	In rods, <strong>phosphodiesterase (PDE)</strong> activity lowers <strong>cGMP</strong> concentration.	Incorrect	Rod <strong>CNG</strong> channels close when <strong>cGMP</strong> levels fall.	Incorrect	Hearing relies mainly on GPCR signaling cascades that take seconds to operate.	Correct	Rhodopsin is formed when opsin binds <strong>retinal</strong>.	Incorrect
MC	<p>097f_87c5</p> <p>Which one of the following statements is<strong> <span style="color: #127663;"><strong>TRUE</strong></span> </strong> concerning vision and hearing transduction?</p>	Tip links stabilize stereocilia but do<strong> <strong>NOT</strong> </strong>help gate mechanotransduction channels.	Incorrect	Hair cells depolarize mainly because <strong>Na<sup>+</sup></strong> enters from endolymph through ENaC channels.	Incorrect	Phototransduction reduces <strong><strong>cGMP</strong></strong> by increasing its breakdown.	Correct	Light opens sodium channels in rods and increases inward current.	Incorrect	Rod <strong>CNG</strong> channels open when <strong>cGMP</strong> levels fall.	Incorrect
MC	<p>097f_9d16</p> <p>Which one of the following statements is<strong> <span style="color: #127663;"><strong>TRUE</strong></span> </strong> concerning vision and hearing transduction?</p>	Rod <strong>CNG</strong> channels open when <strong>cGMP</strong> levels fall.	Incorrect	In rods, activated <strong><strong>rhodopsin</strong></strong> activates a G protein that leads to phosphodiesterase activation.	Correct	Light opens sodium channels in rods and increases inward current.	Incorrect	Rhodopsin is an ion channel that directly conducts photons into the cell.	Incorrect	Hair cells send action potentials down the cochlea without neurotransmitter release.	Incorrect
MC	<p>4106_9c22</p> <p>Which one of the following statements is<strong> <span style="color: #ba372a;"><strong>FALSE</strong></span> </strong> about vision and hearing transduction?</p>	Tip links prevent ion channels from opening and block mechanotransduction.	Correct	Photon absorption changes <strong>retinal</strong> shape and activates <strong>rhodopsin</strong>.	Incorrect	Rod photoreceptors hyperpolarize in response to light.	Incorrect	In rods, <strong>phosphodiesterase (PDE)</strong> activity lowers <strong>cGMP</strong> concentration.	Incorrect	Cones support color vision and function best at higher light levels than rods.	Incorrect
MC	<p>4106_1e25</p> <p>Which one of the following statements is<strong> <span style="color: #ba372a;"><strong>FALSE</strong></span> </strong> about vision and hearing transduction?</p>	Hair cells release neurotransmitter to afferent neurons when depolarized.	Incorrect	Hearing relies mainly on GPCR signaling cascades that take seconds to operate.	Correct	Lower <strong>cGMP</strong> closes <strong>CNG</strong> channels in rod outer segments.	Incorrect	Cones support color vision and function best at higher light levels than rods.	Incorrect	In darkness, rods have relatively high <strong>cGMP</strong> and open <strong>CNG</strong> channels.	Incorrect
MC	<p>4106_fd41</p> <p>Which one of the following statements is<strong> <span style="color: #ba372a;"><strong>FALSE</strong></span> </strong> about vision and hearing transduction?</p>	Rhodopsin consists of an opsin protein plus a <strong>retinal</strong> chromophore.	Incorrect	Rods are responsible for most color discrimination in bright light.	Correct	Phototransduction uses a G protein cascade that activates <strong>phosphodiesterase (PDE)</strong>.	Incorrect	Dark current in rods is supported by <strong>cGMP</strong> gated channel opening.	Incorrect	Light causes <strong>retinal</strong> isomerization that triggers a conformational change in opsin.	Incorrect
MC	<p>4106_f0bd</p> <p>Which one of the following statements is<strong> <span style="color: #ba372a;"><strong>FALSE</strong></span> </strong> about vision and hearing transduction?</p>	Light causes <strong>retinal</strong> isomerization that triggers a conformational change in opsin.	Incorrect	Rod <strong>CNG</strong> channels close when <strong>cGMP</strong> levels fall.	Incorrect	Phototransduction uses a G protein cascade that activates <strong>phosphodiesterase (PDE)</strong>.	Incorrect	Rhodopsin is formed when opsin binds <strong>retinal</strong>.	Incorrect	Rods are responsible for most color discrimination in bright light.	Correct
MC	<p>097f_9c3b</p> <p>Which one of the following statements is<strong> <span style="color: #127663;"><strong>TRUE</strong></span> </strong> concerning vision and hearing transduction?</p>	Hair cells send action potentials down the cochlea without neurotransmitter release.	Incorrect	Hair cells depolarize mainly because <strong>Na<sup>+</sup></strong> enters from endolymph through ENaC channels.	Incorrect	In darkness, rods have low <strong>cGMP</strong> and all <strong>CNG</strong> channels are closed.	Incorrect	In rods, <strong>phosphodiesterase (<strong>phosphodiesterase (PDE)</strong>)</strong> activity lowers <strong><strong>cGMP</strong></strong> concentration.	Correct	Hair cells detect sound by photoreception in the cochlea.	Incorrect
MC	<p>4106_1ce2</p> <p>Which one of the following statements is<strong> <span style="color: #ba372a;"><strong>FALSE</strong></span> </strong> about vision and hearing transduction?</p>	Hair cells do<strong> <strong>NOT</strong> </strong>use synapses and communicate only by gap junctions to the auditory nerve.	Correct	Rods are more sensitive to low light than cones.	Incorrect	Mechanical tension through tip links can gate hair cell transduction channels.	Incorrect	In darkness, rods have relatively high <strong>cGMP</strong> and open <strong>CNG</strong> channels.	Incorrect	Photon absorption changes <strong>retinal</strong> shape and activates <strong>rhodopsin</strong>.	Incorrect
MC	<p>4106_2f41</p> <p>Which one of the following statements is<strong> <span style="color: #ba372a;"><strong>FALSE</strong></span> </strong> about vision and hearing transduction?</p>	Rods are responsible for most color discrimination in bright light.	Correct	In rods, <strong>phosphodiesterase (PDE)</strong> activity lowers <strong>cGMP</strong> concentration.	Incorrect	<strong>K<sup>+</sup></strong> influx from endolymph can drive hair cell depolarization.	Incorrect	In darkness, rods have relatively high <strong>cGMP</strong> and open <strong>CNG</strong> channels.	Incorrect	Lower <strong>cGMP</strong> closes <strong>CNG</strong> channels in rod outer segments.	Incorrect
MC	<p>097f_5d27</p> <p>Which one of the following statements is<strong> <span style="color: #127663;"><strong>TRUE</strong></span> </strong> concerning vision and hearing transduction?</p>	Lower <strong><strong>cGMP</strong></strong> closes <strong><strong>CNG</strong></strong> channels in rod outer segments.	Correct	In rods, light increases <strong>cGMP</strong> to open more <strong>CNG</strong> channels.	Incorrect	Hair cells do<strong> <strong>NOT</strong> </strong>use synapses and communicate only by gap junctions to the auditory nerve.	Incorrect	Light opens sodium channels in rods and increases inward current.	Incorrect	Tip links stabilize stereocilia but do<strong> <strong>NOT</strong> </strong>help gate mechanotransduction channels.	Incorrect
MC	<p>4106_cc57</p> <p>Which one of the following statements is<strong> <span style="color: #ba372a;"><strong>FALSE</strong></span> </strong> about vision and hearing transduction?</p>	In darkness, rods have relatively high <strong>cGMP</strong> and open <strong>CNG</strong> channels.	Incorrect	In rods, <strong>phosphodiesterase (PDE)</strong> activity lowers <strong>cGMP</strong> concentration.	Incorrect	Phototransduction uses a G protein cascade that activates <strong>phosphodiesterase (PDE)</strong>.	Incorrect	In rods, light increases <strong><strong>cGMP</strong></strong> to open more <strong><strong>CNG</strong></strong> channels.	Correct	Hair cells release neurotransmitter to afferent neurons when depolarized.	Incorrect
MC	<p>4106_68dd</p> <p>Which one of the following statements is<strong> <span style="color: #ba372a;"><strong>FALSE</strong></span> </strong> about vision and hearing transduction?</p>	<strong>K<sup>+</sup></strong> influx from endolymph can drive hair cell depolarization.	Incorrect	Mechanical tension through tip links can gate hair cell transduction channels.	Incorrect	Dark current in rods is supported by <strong>cGMP</strong> gated channel opening.	Incorrect	Phototransduction uses a G protein cascade that activates <strong>phosphodiesterase (PDE)</strong>.	Incorrect	<strong><strong>CNG</strong></strong> channels close in darkness because <strong><strong>cGMP</strong></strong> is highest in light.	Correct
MC	<p>097f_5d52</p> <p>Which one of the following statements is<strong> <span style="color: #127663;"><strong>TRUE</strong></span> </strong> concerning vision and hearing transduction?</p>	<strong>phosphodiesterase (PDE)</strong> increases <strong>cGMP</strong> concentration by synthesizing it from GTP.	Incorrect	Phototransduction activates adenylyl cyclase to raise cAMP in rods.	Incorrect	Light opens sodium channels in rods and increases inward current.	Incorrect	Rods are more sensitive to low light than cones.	Correct	Hair cells send action potentials down the cochlea without neurotransmitter release.	Incorrect
MC	<p>4106_5c8f</p> <p>Which one of the following statements is<strong> <span style="color: #ba372a;"><strong>FALSE</strong></span> </strong> about vision and hearing transduction?</p>	Rod <strong>CNG</strong> channels close when <strong>cGMP</strong> levels fall.	Incorrect	Hair cells detect sound by photoreception in the cochlea.	Correct	Light causes <strong>retinal</strong> isomerization that triggers a conformational change in opsin.	Incorrect	Phototransduction reduces <strong>cGMP</strong> by increasing its breakdown.	Incorrect	Cones support color vision and function best at higher light levels than rods.	Incorrect
MC	<p>4106_2e42</p> <p>Which one of the following statements is<strong> <span style="color: #ba372a;"><strong>FALSE</strong></span> </strong> about vision and hearing transduction?</p>	<strong>K<sup>+</sup></strong> influx from endolymph can drive hair cell depolarization.	Incorrect	Phototransduction reduces <strong>cGMP</strong> by increasing its breakdown.	Incorrect	Sound is converted into electrical signals by hair cell deflection.	Incorrect	Rods are responsible for most color discrimination in bright light.	Correct	Rod photoreceptors hyperpolarize in response to light.	Incorrect
MC	<p>4106_89f6</p> <p>Which one of the following statements is<strong> <span style="color: #ba372a;"><strong>FALSE</strong></span> </strong> about vision and hearing transduction?</p>	Light causes <strong>retinal</strong> isomerization that triggers a conformational change in opsin.	Incorrect	In rods, activated <strong>rhodopsin</strong> activates a G protein that leads to phosphodiesterase activation.	Incorrect	Rhodopsin is a receptor tyrosine kinase that phosphorylates <strong><strong>retinal</strong></strong>.	Correct	Rod <strong>CNG</strong> channels close when <strong>cGMP</strong> levels fall.	Incorrect	In darkness, rods have relatively high <strong>cGMP</strong> and open <strong>CNG</strong> channels.	Incorrect
MC	<p>097f_5f4c</p> <p>Which one of the following statements is<strong> <span style="color: #127663;"><strong>TRUE</strong></span> </strong> concerning vision and hearing transduction?</p>	Tip links stabilize stereocilia but do<strong> <strong>NOT</strong> </strong>help gate mechanotransduction channels.	Incorrect	Phototransduction begins by synthesizing <strong>cGMP</strong> from GDP.	Incorrect	Rod photoreceptors depolarize strongly in response to light.	Incorrect	Rod <strong><strong>CNG</strong></strong> channels close when <strong><strong>cGMP</strong></strong> levels fall.	Correct	Rods are responsible for most color discrimination in bright light.	Incorrect
MC	<p>097f_e043</p> <p>Which one of the following statements is<strong> <span style="color: #127663;"><strong>TRUE</strong></span> </strong> concerning vision and hearing transduction?</p>	Hair cells detect sound by photoreception in the cochlea.	Incorrect	Phototransduction begins by synthesizing <strong>cGMP</strong> from GDP.	Incorrect	Rhodopsin is a receptor tyrosine kinase that phosphorylates <strong>retinal</strong>.	Incorrect	<strong>K<sup>+</sup></strong> influx from endolymph can drive hair cell depolarization.	Correct	Tip links stabilize stereocilia but do<strong> <strong>NOT</strong> </strong>help gate mechanotransduction channels.	Incorrect
MC	<p>4106_55de</p> <p>Which one of the following statements is<strong> <span style="color: #ba372a;"><strong>FALSE</strong></span> </strong> about vision and hearing transduction?</p>	Lower <strong>cGMP</strong> closes <strong>CNG</strong> channels in rod outer segments.	Incorrect	Rhodopsin is formed when opsin binds <strong>retinal</strong>.	Incorrect	Hair cells release neurotransmitter to afferent neurons when depolarized.	Incorrect	Cones support color vision and function best at higher light levels than rods.	Incorrect	Hair cells depolarize mainly because <strong>K<sup>+</sup></strong> leaves the cell into endolymph when stereocilia deflect.	Correct
MC	<p>4106_ffe2</p> <p>Which one of the following statements is<strong> <span style="color: #ba372a;"><strong>FALSE</strong></span> </strong> about vision and hearing transduction?</p>	In darkness, rods have relatively high <strong>cGMP</strong> and open <strong>CNG</strong> channels.	Incorrect	Hair cell depolarization can occur when <strong>K<sup>+</sup></strong> enters from <strong>K<sup>+</sup></strong> rich endolymph.	Incorrect	Rod <strong>CNG</strong> channels close when <strong>cGMP</strong> levels fall.	Incorrect	Rhodopsin consists of an opsin protein plus a <strong>retinal</strong> chromophore.	Incorrect	Tip links stabilize stereocilia but do<strong> <strong>NOT</strong> </strong>help gate mechanotransduction channels.	Correct
MC	<p>4106_539d</p> <p>Which one of the following statements is<strong> <span style="color: #ba372a;"><strong>FALSE</strong></span> </strong> about vision and hearing transduction?</p>	In darkness, rods have relatively high <strong>cGMP</strong> and open <strong>CNG</strong> channels.	Incorrect	Photon absorption changes <strong>retinal</strong> shape and activates <strong>rhodopsin</strong>.	Incorrect	<strong>K<sup>+</sup></strong> influx from endolymph can drive hair cell depolarization.	Incorrect	Tip links prevent ion channels from opening and block mechanotransduction.	Correct	Unlike many sensory receptors that depolarize to stimulus, rods hyperpolarize to light.	Incorrect
MC	<p>097f_71dc</p> <p>Which one of the following statements is<strong> <span style="color: #127663;"><strong>TRUE</strong></span> </strong> concerning vision and hearing transduction?</p>	Cones support color vision and function best at higher light levels than rods.	Correct	In rods, light increases <strong>cGMP</strong> to open more <strong>CNG</strong> channels.	Incorrect	Rod <strong>CNG</strong> channels open when <strong>cGMP</strong> levels fall.	Incorrect	Hair cells depolarize mainly because <strong>Na<sup>+</sup></strong> enters from endolymph through ENaC channels.	Incorrect	Phototransduction activates adenylyl cyclase to raise cAMP in rods.	Incorrect
MC	<p>097f_de95</p> <p>Which one of the following statements is<strong> <span style="color: #127663;"><strong>TRUE</strong></span> </strong> concerning vision and hearing transduction?</p>	Tip links connect stereocilia and contribute to opening mechanosensitive transduction channels.	Correct	Rhodopsin is a receptor tyrosine kinase that phosphorylates <strong>retinal</strong>.	Incorrect	Rods are responsible for most color discrimination in bright light.	Incorrect	Hair cells do<strong> <strong>NOT</strong> </strong>use synapses and communicate only by gap junctions to the auditory nerve.	Incorrect	Phototransduction activates adenylyl cyclase to raise cAMP in rods.	Incorrect
MC	<p>097f_308e</p> <p>Which one of the following statements is<strong> <span style="color: #127663;"><strong>TRUE</strong></span> </strong> concerning vision and hearing transduction?</p>	Rhodopsin is an ion channel that directly conducts photons into the cell.	Incorrect	Cones are more sensitive to dim light than rods.	Incorrect	Hair cells do<strong> <strong>NOT</strong> </strong>use synapses and communicate only by gap junctions to the auditory nerve.	Incorrect	Rod <strong><strong>CNG</strong></strong> channels close when <strong><strong>cGMP</strong></strong> levels fall.	Correct	Phototransduction begins by synthesizing <strong>cGMP</strong> from GDP.	Incorrect
MC	<p>4106_b03c</p> <p>Which one of the following statements is<strong> <span style="color: #ba372a;"><strong>FALSE</strong></span> </strong> about vision and hearing transduction?</p>	Tip links connect stereocilia and contribute to opening mechanosensitive transduction channels.	Incorrect	Rods are responsible for most color discrimination in bright light.	Correct	Light reduces inward current in rods, causing hyperpolarization.	Incorrect	Light causes <strong>retinal</strong> isomerization that triggers a conformational change in opsin.	Incorrect	In rods, activated <strong>rhodopsin</strong> activates a G protein that leads to phosphodiesterase activation.	Incorrect
MC	<p>4106_a2d9</p> <p>Which one of the following statements is<strong> <span style="color: #ba372a;"><strong>FALSE</strong></span> </strong> about vision and hearing transduction?</p>	Tip links connect stereocilia and contribute to opening mechanosensitive transduction channels.	Incorrect	Dark current in rods is supported by <strong>cGMP</strong> gated channel opening.	Incorrect	Sound is converted into electrical signals by hair cell deflection.	Incorrect	Cones are more sensitive to dim light than rods.	Correct	Hair cells release neurotransmitter to afferent neurons when depolarized.	Incorrect
MC	<p>4106_2de7</p> <p>Which one of the following statements is<strong> <span style="color: #ba372a;"><strong>FALSE</strong></span> </strong> about vision and hearing transduction?</p>	Hair cells depolarize mainly because <strong>K<sup>+</sup></strong> leaves the cell into endolymph when stereocilia deflect.	Correct	Rhodopsin is formed when opsin binds <strong>retinal</strong>.	Incorrect	Sound is converted into electrical signals by hair cell deflection.	Incorrect	Light reduces inward current in rods, causing hyperpolarization.	Incorrect	In rods, activated <strong>rhodopsin</strong> activates a G protein that leads to phosphodiesterase activation.	Incorrect
MC	<p>097f_d0a5</p> <p>Which one of the following statements is<strong> <span style="color: #127663;"><strong>TRUE</strong></span> </strong> concerning vision and hearing transduction?</p>	Rod photoreceptors depolarize strongly in response to light.	Incorrect	Hair cells depolarize mainly because <strong>Na<sup>+</sup></strong> enters from endolymph through ENaC channels.	Incorrect	Rod <strong>CNG</strong> channels open when <strong>cGMP</strong> levels fall.	Incorrect	In darkness, rods have relatively high <strong><strong>cGMP</strong></strong> and open <strong><strong>CNG</strong></strong> channels.	Correct	Hair cells detect sound by photoreception in the cochlea.	Incorrect
MC	<p>097f_c6a0</p> <p>Which one of the following statements is<strong> <span style="color: #127663;"><strong>TRUE</strong></span> </strong> concerning vision and hearing transduction?</p>	Tip links stabilize stereocilia but do<strong> <strong>NOT</strong> </strong>help gate mechanotransduction channels.	Incorrect	Rods are responsible for most color discrimination in bright light.	Incorrect	Hair cells depolarize mainly because <strong>K<sup>+</sup></strong> leaves the cell into endolymph when stereocilia deflect.	Incorrect	Rod photoreceptors hyperpolarize in response to light.	Correct	Phototransduction begins by synthesizing <strong>cGMP</strong> from GDP.	Incorrect
MC	<p>4106_8de7</p> <p>Which one of the following statements is<strong> <span style="color: #ba372a;"><strong>FALSE</strong></span> </strong> about vision and hearing transduction?</p>	Photon absorption changes <strong>retinal</strong> shape and activates <strong>rhodopsin</strong>.	Incorrect	Mechanical tension through tip links can gate hair cell transduction channels.	Incorrect	<strong>phosphodiesterase (<strong>phosphodiesterase (PDE)</strong>)</strong> terminates signals by producing <strong><strong>cGMP</strong></strong> in the outer segment.	Correct	Rods are more sensitive to low light than cones.	Incorrect	Hair cells release neurotransmitter to afferent neurons when depolarized.	Incorrect
MC	<p>097f_7ee3</p> <p>Which one of the following statements is<strong> <span style="color: #127663;"><strong>TRUE</strong></span> </strong> concerning vision and hearing transduction?</p>	Cones are more sensitive to dim light than rods.	Incorrect	Hair cells send action potentials down the cochlea without neurotransmitter release.	Incorrect	Photon absorption changes <strong><strong>retinal</strong></strong> shape and activates <strong><strong>rhodopsin</strong></strong>.	Correct	Hair cells detect sound by photoreception in the cochlea.	Incorrect	<strong>phosphodiesterase (PDE)</strong> increases <strong>cGMP</strong> concentration by synthesizing it from GTP.	Incorrect
