MC	<p>d800_6730</p> <p>A plant with unique photosynthetic pigments has leaves that appear <strong><span style="color: #e63900">orangeish</span> <span style="color: #b3b300">yellow</span></strong>.</p><p>Which one of the following wavelengths of visible light would most effectively be absorbed by this pigment?</p>	<span style="color: #9d159d"><strong>violet</strong> (410 nm)</span> and <span style="color: #e63900"><strong>orange</strong> (600 nm)</span>	Incorrect	<span style="color: #4a0080"><strong>indigo</strong> (430 nm)</span> and <span style="color: #e63900"><strong>orange</strong> (600 nm)</span>	Incorrect	<span style="color: #4a0080"><strong>indigo</strong> (430 nm)</span> and <span style="color: #000080"><strong>blue</strong> (460 nm)</span>	Correct	<span style="color: #9d159d"><strong>violet</strong> (410 nm)</span> and <span style="color: #b3b300"><strong>yellow</strong> (580 nm)</span>	Incorrect
MC	<p>1959_c857</p> <p>A plant with unique photosynthetic pigments has leaves that appear <strong><span style="color: #006600">greenish</span> <span style="color: #000080">blue</span></strong>.</p><p>Which one of the following wavelengths of visible light would most effectively be absorbed by this pigment?</p>	<span style="color: #9d159d"><strong>violet</strong> (410 nm)</span> and <span style="color: #990000"><strong>red</strong> (700 nm)</span>	Correct	<span style="color: #006600"><strong>green</strong> (530 nm)</span> and <span style="color: #e63900"><strong>orange</strong> (600 nm)</span>	Incorrect	<span style="color: #006600"><strong>green</strong> (530 nm)</span> and <span style="color: #990000"><strong>red</strong> (700 nm)</span>	Incorrect	<span style="color: #9d159d"><strong>violet</strong> (410 nm)</span> and <span style="color: #000080"><strong>blue</strong> (460 nm)</span>	Incorrect
MC	<p>e775_0135</p> <p>A plant with unique photosynthetic pigments has leaves that appear <strong><span style="color: #b3b300">yellowish</span> <span style="color: #006600">green</span></strong>.</p><p>Which one of the following wavelengths of visible light would most effectively be absorbed by this pigment?</p>	<span style="color: #006600"><strong>green</strong> (530 nm)</span> and <span style="color: #9d159d"><strong>violet</strong> (410 nm)</span>	Incorrect	<span style="color: #9d159d"><strong>violet</strong> (410 nm)</span> and <span style="color: #4a0080"><strong>indigo</strong> (430 nm)</span>	Correct	<span style="color: #9d159d"><strong>violet</strong> (410 nm)</span> and <span style="color: #006600"><strong>green</strong> (530 nm)</span>	Incorrect	<span style="color: #006600"><strong>green</strong> (530 nm)</span> and <span style="color: #4a0080"><strong>indigo</strong> (430 nm)</span>	Incorrect
MC	<p>a3ef_7088</p> <p>A plant with unique photosynthetic pigments has leaves that appear <strong><span style="color: #000080">blue</span> and <span style="color: #9d159d">violet</span></strong>.</p><p>Which one of the following wavelengths of visible light would most effectively be absorbed by this pigment?</p>	<span style="color: #000080"><strong>blue</strong> (460 nm)</span> and <span style="color: #e63900"><strong>orange</strong> (600 nm)</span>	Incorrect	<span style="color: #000080"><strong>blue</strong> (460 nm)</span> and <span style="color: #990000"><strong>red</strong> (700 nm)</span>	Incorrect	<span style="color: #b3b300"><strong>yellow</strong> (580 nm)</span> and <span style="color: #990000"><strong>red</strong> (700 nm)</span>	Correct	<span style="color: #e63900"><strong>orange</strong> (600 nm)</span> and <span style="color: #000080"><strong>blue</strong> (460 nm)</span>	Incorrect
MC	<p>d800_a1bd</p> <p>A plant with unique photosynthetic pigments has leaves that appear <strong><span style="color: #e63900">orangeish</span> <span style="color: #b3b300">yellow</span></strong>.</p><p>Which one of the following wavelengths of visible light would most effectively be absorbed by this pigment?</p>	<span style="color: #4a0080"><strong>indigo</strong> (430 nm)</span> and <span style="color: #e63900"><strong>orange</strong> (600 nm)</span>	Incorrect	<span style="color: #b3b300"><strong>yellow</strong> (580 nm)</span> and <span style="color: #9d159d"><strong>violet</strong> (410 nm)</span>	Incorrect	<span style="color: #9d159d"><strong>violet</strong> (410 nm)</span> and <span style="color: #b3b300"><strong>yellow</strong> (580 nm)</span>	Incorrect	<span style="color: #9d159d"><strong>violet</strong> (410 nm)</span> and <span style="color: #000080"><strong>blue</strong> (460 nm)</span>	Correct
MC	<p>d800_ab11</p> <p>A plant with unique photosynthetic pigments has leaves that appear <strong><span style="color: #e63900">orangeish</span> <span style="color: #b3b300">yellow</span></strong>.</p><p>Which one of the following wavelengths of visible light would most effectively be absorbed by this pigment?</p>	<span style="color: #9d159d"><strong>violet</strong> (410 nm)</span> and <span style="color: #b3b300"><strong>yellow</strong> (580 nm)</span>	Incorrect	<span style="color: #b3b300"><strong>yellow</strong> (580 nm)</span> and <span style="color: #000080"><strong>blue</strong> (460 nm)</span>	Incorrect	<span style="color: #9d159d"><strong>violet</strong> (410 nm)</span> and <span style="color: #4a0080"><strong>indigo</strong> (430 nm)</span>	Correct	<span style="color: #e63900"><strong>orange</strong> (600 nm)</span> and <span style="color: #000080"><strong>blue</strong> (460 nm)</span>	Incorrect
MC	<p>023d_9986</p> <p>A plant with unique photosynthetic pigments has leaves that appear <strong><span style="color: #b3b300">yellowish</span> <span style="color: #000080">blue</span></strong>.</p><p>Which one of the following wavelengths of visible light would most effectively be absorbed by this pigment?</p>	<span style="color: #000080"><strong>blue</strong> (460 nm)</span> and <span style="color: #9d159d"><strong>violet</strong> (410 nm)</span>	Incorrect	<span style="color: #9d159d"><strong>violet</strong> (410 nm)</span> and <span style="color: #990000"><strong>red</strong> (700 nm)</span>	Correct	<span style="color: #990000"><strong>red</strong> (700 nm)</span> and <span style="color: #000080"><strong>blue</strong> (460 nm)</span>	Incorrect	<span style="color: #b3b300"><strong>yellow</strong> (580 nm)</span> and <span style="color: #9d159d"><strong>violet</strong> (410 nm)</span>	Incorrect
MC	<p>a3ef_949e</p> <p>A plant with unique photosynthetic pigments has leaves that appear <strong><span style="color: #000080">blue</span> and <span style="color: #9d159d">violet</span></strong>.</p><p>Which one of the following wavelengths of visible light would most effectively be absorbed by this pigment?</p>	<span style="color: #000080"><strong>blue</strong> (460 nm)</span> and <span style="color: #b3b300"><strong>yellow</strong> (580 nm)</span>	Incorrect	<span style="color: #9d159d"><strong>violet</strong> (410 nm)</span> and <span style="color: #e63900"><strong>orange</strong> (600 nm)</span>	Incorrect	<span style="color: #9d159d"><strong>violet</strong> (410 nm)</span> and <span style="color: #990000"><strong>red</strong> (700 nm)</span>	Incorrect	<span style="color: #b3b300"><strong>yellow</strong> (580 nm)</span> and <span style="color: #990000"><strong>red</strong> (700 nm)</span>	Correct
MC	<p>023d_16cc</p> <p>A plant with unique photosynthetic pigments has leaves that appear <strong><span style="color: #b3b300">yellowish</span> <span style="color: #000080">blue</span></strong>.</p><p>Which one of the following wavelengths of visible light would most effectively be absorbed by this pigment?</p>	<span style="color: #b3b300"><strong>yellow</strong> (580 nm)</span> and <span style="color: #9d159d"><strong>violet</strong> (410 nm)</span>	Incorrect	<span style="color: #006600"><strong>green</strong> (530 nm)</span> and <span style="color: #9d159d"><strong>violet</strong> (410 nm)</span>	Incorrect	<span style="color: #b3b300"><strong>yellow</strong> (580 nm)</span> and <span style="color: #990000"><strong>red</strong> (700 nm)</span>	Incorrect	<span style="color: #9d159d"><strong>violet</strong> (410 nm)</span> and <span style="color: #990000"><strong>red</strong> (700 nm)</span>	Correct
MC	<p>e775_0024</p> <p>A plant with unique photosynthetic pigments has leaves that appear <strong><span style="color: #b3b300">yellowish</span> <span style="color: #006600">green</span></strong>.</p><p>Which one of the following wavelengths of visible light would most effectively be absorbed by this pigment?</p>	<span style="color: #990000"><strong>red</strong> (700 nm)</span> and <span style="color: #006600"><strong>green</strong> (530 nm)</span>	Incorrect	<span style="color: #9d159d"><strong>violet</strong> (410 nm)</span> and <span style="color: #b3b300"><strong>yellow</strong> (580 nm)</span>	Incorrect	<span style="color: #006600"><strong>green</strong> (530 nm)</span> and <span style="color: #990000"><strong>red</strong> (700 nm)</span>	Incorrect	<span style="color: #9d159d"><strong>violet</strong> (410 nm)</span> and <span style="color: #4a0080"><strong>indigo</strong> (430 nm)</span>	Correct
MC	<p>d800_6a0c</p> <p>A plant with unique photosynthetic pigments has leaves that appear <strong><span style="color: #e63900">orangeish</span> <span style="color: #b3b300">yellow</span></strong>.</p><p>Which one of the following wavelengths of visible light would most effectively be absorbed by this pigment?</p>	<span style="color: #9d159d"><strong>violet</strong> (410 nm)</span> and <span style="color: #e63900"><strong>orange</strong> (600 nm)</span>	Incorrect	<span style="color: #000080"><strong>blue</strong> (460 nm)</span> and <span style="color: #e63900"><strong>orange</strong> (600 nm)</span>	Incorrect	<span style="color: #4a0080"><strong>indigo</strong> (430 nm)</span> and <span style="color: #000080"><strong>blue</strong> (460 nm)</span>	Correct	<span style="color: #000080"><strong>blue</strong> (460 nm)</span> and <span style="color: #b3b300"><strong>yellow</strong> (580 nm)</span>	Incorrect
MC	<p>fecf_9f99</p> <p>A plant with unique photosynthetic pigments has leaves that appear <strong><span style="color: #990000">reddish</span> <span style="color: #b3b300">yellow</span></strong>.</p><p>Which one of the following wavelengths of visible light would most effectively be absorbed by this pigment?</p>	<span style="color: #4a0080"><strong>indigo</strong> (430 nm)</span> and <span style="color: #b3b300"><strong>yellow</strong> (580 nm)</span>	Incorrect	<span style="color: #9d159d"><strong>violet</strong> (410 nm)</span> and <span style="color: #4a0080"><strong>indigo</strong> (430 nm)</span>	Correct	<span style="color: #b3b300"><strong>yellow</strong> (580 nm)</span> and <span style="color: #9d159d"><strong>violet</strong> (410 nm)</span>	Incorrect	<span style="color: #4a0080"><strong>indigo</strong> (430 nm)</span> and <span style="color: #990000"><strong>red</strong> (700 nm)</span>	Incorrect
MC	<p>fecf_f3a4</p> <p>A plant with unique photosynthetic pigments has leaves that appear <strong><span style="color: #990000">reddish</span> <span style="color: #b3b300">yellow</span></strong>.</p><p>Which one of the following wavelengths of visible light would most effectively be absorbed by this pigment?</p>	<span style="color: #9d159d"><strong>violet</strong> (410 nm)</span> and <span style="color: #000080"><strong>blue</strong> (460 nm)</span>	Correct	<span style="color: #9d159d"><strong>violet</strong> (410 nm)</span> and <span style="color: #e63900"><strong>orange</strong> (600 nm)</span>	Incorrect	<span style="color: #e63900"><strong>orange</strong> (600 nm)</span> and <span style="color: #4a0080"><strong>indigo</strong> (430 nm)</span>	Incorrect	<span style="color: #e63900"><strong>orange</strong> (600 nm)</span> and <span style="color: #000080"><strong>blue</strong> (460 nm)</span>	Incorrect
MC	<p>a3ef_2901</p> <p>A plant with unique photosynthetic pigments has leaves that appear <strong><span style="color: #000080">blue</span> and <span style="color: #9d159d">violet</span></strong>.</p><p>Which one of the following wavelengths of visible light would most effectively be absorbed by this pigment?</p>	<span style="color: #b3b300"><strong>yellow</strong> (580 nm)</span> and <span style="color: #e63900"><strong>orange</strong> (600 nm)</span>	Correct	<span style="color: #000080"><strong>blue</strong> (460 nm)</span> and <span style="color: #990000"><strong>red</strong> (700 nm)</span>	Incorrect	<span style="color: #990000"><strong>red</strong> (700 nm)</span> and <span style="color: #9d159d"><strong>violet</strong> (410 nm)</span>	Incorrect	<span style="color: #000080"><strong>blue</strong> (460 nm)</span> and <span style="color: #b3b300"><strong>yellow</strong> (580 nm)</span>	Incorrect
MC	<p>a3ef_7e00</p> <p>A plant with unique photosynthetic pigments has leaves that appear <strong><span style="color: #000080">blue</span> and <span style="color: #9d159d">violet</span></strong>.</p><p>Which one of the following wavelengths of visible light would most effectively be absorbed by this pigment?</p>	<span style="color: #000080"><strong>blue</strong> (460 nm)</span> and <span style="color: #990000"><strong>red</strong> (700 nm)</span>	Incorrect	<span style="color: #000080"><strong>blue</strong> (460 nm)</span> and <span style="color: #b3b300"><strong>yellow</strong> (580 nm)</span>	Incorrect	<span style="color: #9d159d"><strong>violet</strong> (410 nm)</span> and <span style="color: #b3b300"><strong>yellow</strong> (580 nm)</span>	Incorrect	<span style="color: #b3b300"><strong>yellow</strong> (580 nm)</span> and <span style="color: #e63900"><strong>orange</strong> (600 nm)</span>	Correct
MC	<p>d800_f709</p> <p>A plant with unique photosynthetic pigments has leaves that appear <strong><span style="color: #e63900">orangeish</span> <span style="color: #b3b300">yellow</span></strong>.</p><p>Which one of the following wavelengths of visible light would most effectively be absorbed by this pigment?</p>	<span style="color: #9d159d"><strong>violet</strong> (410 nm)</span> and <span style="color: #4a0080"><strong>indigo</strong> (430 nm)</span>	Correct	<span style="color: #b3b300"><strong>yellow</strong> (580 nm)</span> and <span style="color: #000080"><strong>blue</strong> (460 nm)</span>	Incorrect	<span style="color: #e63900"><strong>orange</strong> (600 nm)</span> and <span style="color: #000080"><strong>blue</strong> (460 nm)</span>	Incorrect	<span style="color: #9d159d"><strong>violet</strong> (410 nm)</span> and <span style="color: #b3b300"><strong>yellow</strong> (580 nm)</span>	Incorrect
MC	<p>1959_9f22</p> <p>A plant with unique photosynthetic pigments has leaves that appear <strong><span style="color: #006600">greenish</span> <span style="color: #000080">blue</span></strong>.</p><p>Which one of the following wavelengths of visible light would most effectively be absorbed by this pigment?</p>	<span style="color: #9d159d"><strong>violet</strong> (410 nm)</span> and <span style="color: #006600"><strong>green</strong> (530 nm)</span>	Incorrect	<span style="color: #9d159d"><strong>violet</strong> (410 nm)</span> and <span style="color: #000080"><strong>blue</strong> (460 nm)</span>	Incorrect	<span style="color: #9d159d"><strong>violet</strong> (410 nm)</span> and <span style="color: #e63900"><strong>orange</strong> (600 nm)</span>	Correct	<span style="color: #006600"><strong>green</strong> (530 nm)</span> and <span style="color: #9d159d"><strong>violet</strong> (410 nm)</span>	Incorrect
MC	<p>a3ef_f110</p> <p>A plant with unique photosynthetic pigments has leaves that appear <strong><span style="color: #000080">blue</span> and <span style="color: #9d159d">violet</span></strong>.</p><p>Which one of the following wavelengths of visible light would most effectively be absorbed by this pigment?</p>	<span style="color: #000080"><strong>blue</strong> (460 nm)</span> and <span style="color: #990000"><strong>red</strong> (700 nm)</span>	Incorrect	<span style="color: #b3b300"><strong>yellow</strong> (580 nm)</span> and <span style="color: #e63900"><strong>orange</strong> (600 nm)</span>	Correct	<span style="color: #9d159d"><strong>violet</strong> (410 nm)</span> and <span style="color: #990000"><strong>red</strong> (700 nm)</span>	Incorrect	<span style="color: #b3b300"><strong>yellow</strong> (580 nm)</span> and <span style="color: #000080"><strong>blue</strong> (460 nm)</span>	Incorrect
MC	<p>023d_e851</p> <p>A plant with unique photosynthetic pigments has leaves that appear <strong><span style="color: #b3b300">yellowish</span> <span style="color: #000080">blue</span></strong>.</p><p>Which one of the following wavelengths of visible light would most effectively be absorbed by this pigment?</p>	<span style="color: #b3b300"><strong>yellow</strong> (580 nm)</span> and <span style="color: #990000"><strong>red</strong> (700 nm)</span>	Incorrect	<span style="color: #990000"><strong>red</strong> (700 nm)</span> and <span style="color: #006600"><strong>green</strong> (530 nm)</span>	Incorrect	<span style="color: #006600"><strong>green</strong> (530 nm)</span> and <span style="color: #9d159d"><strong>violet</strong> (410 nm)</span>	Incorrect	<span style="color: #9d159d"><strong>violet</strong> (410 nm)</span> and <span style="color: #990000"><strong>red</strong> (700 nm)</span>	Correct
MC	<p>023d_4e9b</p> <p>A plant with unique photosynthetic pigments has leaves that appear <strong><span style="color: #b3b300">yellowish</span> <span style="color: #000080">blue</span></strong>.</p><p>Which one of the following wavelengths of visible light would most effectively be absorbed by this pigment?</p>	<span style="color: #9d159d"><strong>violet</strong> (410 nm)</span> and <span style="color: #b3b300"><strong>yellow</strong> (580 nm)</span>	Incorrect	<span style="color: #b3b300"><strong>yellow</strong> (580 nm)</span> and <span style="color: #9d159d"><strong>violet</strong> (410 nm)</span>	Incorrect	<span style="color: #9d159d"><strong>violet</strong> (410 nm)</span> and <span style="color: #990000"><strong>red</strong> (700 nm)</span>	Correct	<span style="color: #990000"><strong>red</strong> (700 nm)</span> and <span style="color: #006600"><strong>green</strong> (530 nm)</span>	Incorrect
MC	<p>d800_1432</p> <p>A plant with unique photosynthetic pigments has leaves that appear <strong><span style="color: #e63900">orangeish</span> <span style="color: #b3b300">yellow</span></strong>.</p><p>Which one of the following wavelengths of visible light would most effectively be absorbed by this pigment?</p>	<span style="color: #9d159d"><strong>violet</strong> (410 nm)</span> and <span style="color: #4a0080"><strong>indigo</strong> (430 nm)</span>	Correct	<span style="color: #e63900"><strong>orange</strong> (600 nm)</span> and <span style="color: #9d159d"><strong>violet</strong> (410 nm)</span>	Incorrect	<span style="color: #e63900"><strong>orange</strong> (600 nm)</span> and <span style="color: #000080"><strong>blue</strong> (460 nm)</span>	Incorrect	<span style="color: #9d159d"><strong>violet</strong> (410 nm)</span> and <span style="color: #e63900"><strong>orange</strong> (600 nm)</span>	Incorrect
MC	<p>023d_f788</p> <p>A plant with unique photosynthetic pigments has leaves that appear <strong><span style="color: #b3b300">yellowish</span> <span style="color: #000080">blue</span></strong>.</p><p>Which one of the following wavelengths of visible light would most effectively be absorbed by this pigment?</p>	<span style="color: #9d159d"><strong>violet</strong> (410 nm)</span> and <span style="color: #b3b300"><strong>yellow</strong> (580 nm)</span>	Incorrect	<span style="color: #9d159d"><strong>violet</strong> (410 nm)</span> and <span style="color: #990000"><strong>red</strong> (700 nm)</span>	Correct	<span style="color: #9d159d"><strong>violet</strong> (410 nm)</span> and <span style="color: #006600"><strong>green</strong> (530 nm)</span>	Incorrect	<span style="color: #990000"><strong>red</strong> (700 nm)</span> and <span style="color: #000080"><strong>blue</strong> (460 nm)</span>	Incorrect
MC	<p>1959_a7b8</p> <p>A plant with unique photosynthetic pigments has leaves that appear <strong><span style="color: #006600">greenish</span> <span style="color: #000080">blue</span></strong>.</p><p>Which one of the following wavelengths of visible light would most effectively be absorbed by this pigment?</p>	<span style="color: #000080"><strong>blue</strong> (460 nm)</span> and <span style="color: #990000"><strong>red</strong> (700 nm)</span>	Incorrect	<span style="color: #9d159d"><strong>violet</strong> (410 nm)</span> and <span style="color: #990000"><strong>red</strong> (700 nm)</span>	Correct	<span style="color: #9d159d"><strong>violet</strong> (410 nm)</span> and <span style="color: #000080"><strong>blue</strong> (460 nm)</span>	Incorrect	<span style="color: #990000"><strong>red</strong> (700 nm)</span> and <span style="color: #000080"><strong>blue</strong> (460 nm)</span>	Incorrect
MC	<p>fecf_3e2c</p> <p>A plant with unique photosynthetic pigments has leaves that appear <strong><span style="color: #990000">reddish</span> <span style="color: #b3b300">yellow</span></strong>.</p><p>Which one of the following wavelengths of visible light would most effectively be absorbed by this pigment?</p>	<span style="color: #4a0080"><strong>indigo</strong> (430 nm)</span> and <span style="color: #000080"><strong>blue</strong> (460 nm)</span>	Correct	<span style="color: #000080"><strong>blue</strong> (460 nm)</span> and <span style="color: #b3b300"><strong>yellow</strong> (580 nm)</span>	Incorrect	<span style="color: #9d159d"><strong>violet</strong> (410 nm)</span> and <span style="color: #b3b300"><strong>yellow</strong> (580 nm)</span>	Incorrect	<span style="color: #990000"><strong>red</strong> (700 nm)</span> and <span style="color: #9d159d"><strong>violet</strong> (410 nm)</span>	Incorrect
MC	<p>d800_aa63</p> <p>A plant with unique photosynthetic pigments has leaves that appear <strong><span style="color: #e63900">orangeish</span> <span style="color: #b3b300">yellow</span></strong>.</p><p>Which one of the following wavelengths of visible light would most effectively be absorbed by this pigment?</p>	<span style="color: #e63900"><strong>orange</strong> (600 nm)</span> and <span style="color: #9d159d"><strong>violet</strong> (410 nm)</span>	Incorrect	<span style="color: #b3b300"><strong>yellow</strong> (580 nm)</span> and <span style="color: #4a0080"><strong>indigo</strong> (430 nm)</span>	Incorrect	<span style="color: #4a0080"><strong>indigo</strong> (430 nm)</span> and <span style="color: #000080"><strong>blue</strong> (460 nm)</span>	Correct	<span style="color: #000080"><strong>blue</strong> (460 nm)</span> and <span style="color: #b3b300"><strong>yellow</strong> (580 nm)</span>	Incorrect
MC	<p>fecf_c5d8</p> <p>A plant with unique photosynthetic pigments has leaves that appear <strong><span style="color: #990000">reddish</span> <span style="color: #b3b300">yellow</span></strong>.</p><p>Which one of the following wavelengths of visible light would most effectively be absorbed by this pigment?</p>	<span style="color: #000080"><strong>blue</strong> (460 nm)</span> and <span style="color: #b3b300"><strong>yellow</strong> (580 nm)</span>	Incorrect	<span style="color: #990000"><strong>red</strong> (700 nm)</span> and <span style="color: #000080"><strong>blue</strong> (460 nm)</span>	Incorrect	<span style="color: #9d159d"><strong>violet</strong> (410 nm)</span> and <span style="color: #b3b300"><strong>yellow</strong> (580 nm)</span>	Incorrect	<span style="color: #9d159d"><strong>violet</strong> (410 nm)</span> and <span style="color: #4a0080"><strong>indigo</strong> (430 nm)</span>	Correct
MC	<p>023d_65c2</p> <p>A plant with unique photosynthetic pigments has leaves that appear <strong><span style="color: #b3b300">yellowish</span> <span style="color: #000080">blue</span></strong>.</p><p>Which one of the following wavelengths of visible light would most effectively be absorbed by this pigment?</p>	<span style="color: #9d159d"><strong>violet</strong> (410 nm)</span> and <span style="color: #b3b300"><strong>yellow</strong> (580 nm)</span>	Incorrect	<span style="color: #9d159d"><strong>violet</strong> (410 nm)</span> and <span style="color: #990000"><strong>red</strong> (700 nm)</span>	Correct	<span style="color: #000080"><strong>blue</strong> (460 nm)</span> and <span style="color: #990000"><strong>red</strong> (700 nm)</span>	Incorrect	<span style="color: #9d159d"><strong>violet</strong> (410 nm)</span> and <span style="color: #006600"><strong>green</strong> (530 nm)</span>	Incorrect
MC	<p>d800_3fc7</p> <p>A plant with unique photosynthetic pigments has leaves that appear <strong><span style="color: #e63900">orangeish</span> <span style="color: #b3b300">yellow</span></strong>.</p><p>Which one of the following wavelengths of visible light would most effectively be absorbed by this pigment?</p>	<span style="color: #e63900"><strong>orange</strong> (600 nm)</span> and <span style="color: #000080"><strong>blue</strong> (460 nm)</span>	Incorrect	<span style="color: #9d159d"><strong>violet</strong> (410 nm)</span> and <span style="color: #000080"><strong>blue</strong> (460 nm)</span>	Correct	<span style="color: #b3b300"><strong>yellow</strong> (580 nm)</span> and <span style="color: #4a0080"><strong>indigo</strong> (430 nm)</span>	Incorrect	<span style="color: #b3b300"><strong>yellow</strong> (580 nm)</span> and <span style="color: #000080"><strong>blue</strong> (460 nm)</span>	Incorrect
MC	<p>023d_7b3d</p> <p>A plant with unique photosynthetic pigments has leaves that appear <strong><span style="color: #b3b300">yellowish</span> <span style="color: #000080">blue</span></strong>.</p><p>Which one of the following wavelengths of visible light would most effectively be absorbed by this pigment?</p>	<span style="color: #990000"><strong>red</strong> (700 nm)</span> and <span style="color: #000080"><strong>blue</strong> (460 nm)</span>	Incorrect	<span style="color: #9d159d"><strong>violet</strong> (410 nm)</span> and <span style="color: #000080"><strong>blue</strong> (460 nm)</span>	Incorrect	<span style="color: #9d159d"><strong>violet</strong> (410 nm)</span> and <span style="color: #b3b300"><strong>yellow</strong> (580 nm)</span>	Incorrect	<span style="color: #9d159d"><strong>violet</strong> (410 nm)</span> and <span style="color: #990000"><strong>red</strong> (700 nm)</span>	Correct
MC	<p>023d_3f79</p> <p>A plant with unique photosynthetic pigments has leaves that appear <strong><span style="color: #b3b300">yellowish</span> <span style="color: #000080">blue</span></strong>.</p><p>Which one of the following wavelengths of visible light would most effectively be absorbed by this pigment?</p>	<span style="color: #9d159d"><strong>violet</strong> (410 nm)</span> and <span style="color: #990000"><strong>red</strong> (700 nm)</span>	Correct	<span style="color: #9d159d"><strong>violet</strong> (410 nm)</span> and <span style="color: #000080"><strong>blue</strong> (460 nm)</span>	Incorrect	<span style="color: #006600"><strong>green</strong> (530 nm)</span> and <span style="color: #9d159d"><strong>violet</strong> (410 nm)</span>	Incorrect	<span style="color: #b3b300"><strong>yellow</strong> (580 nm)</span> and <span style="color: #9d159d"><strong>violet</strong> (410 nm)</span>	Incorrect
MC	<p>d800_2165</p> <p>A plant with unique photosynthetic pigments has leaves that appear <strong><span style="color: #e63900">orangeish</span> <span style="color: #b3b300">yellow</span></strong>.</p><p>Which one of the following wavelengths of visible light would most effectively be absorbed by this pigment?</p>	<span style="color: #9d159d"><strong>violet</strong> (410 nm)</span> and <span style="color: #b3b300"><strong>yellow</strong> (580 nm)</span>	Incorrect	<span style="color: #4a0080"><strong>indigo</strong> (430 nm)</span> and <span style="color: #e63900"><strong>orange</strong> (600 nm)</span>	Incorrect	<span style="color: #4a0080"><strong>indigo</strong> (430 nm)</span> and <span style="color: #b3b300"><strong>yellow</strong> (580 nm)</span>	Incorrect	<span style="color: #9d159d"><strong>violet</strong> (410 nm)</span> and <span style="color: #000080"><strong>blue</strong> (460 nm)</span>	Correct
MC	<p>023d_06d6</p> <p>A plant with unique photosynthetic pigments has leaves that appear <strong><span style="color: #b3b300">yellowish</span> <span style="color: #000080">blue</span></strong>.</p><p>Which one of the following wavelengths of visible light would most effectively be absorbed by this pigment?</p>	<span style="color: #006600"><strong>green</strong> (530 nm)</span> and <span style="color: #990000"><strong>red</strong> (700 nm)</span>	Incorrect	<span style="color: #9d159d"><strong>violet</strong> (410 nm)</span> and <span style="color: #000080"><strong>blue</strong> (460 nm)</span>	Incorrect	<span style="color: #b3b300"><strong>yellow</strong> (580 nm)</span> and <span style="color: #9d159d"><strong>violet</strong> (410 nm)</span>	Incorrect	<span style="color: #9d159d"><strong>violet</strong> (410 nm)</span> and <span style="color: #990000"><strong>red</strong> (700 nm)</span>	Correct
MC	<p>023d_d0d1</p> <p>A plant with unique photosynthetic pigments has leaves that appear <strong><span style="color: #b3b300">yellowish</span> <span style="color: #000080">blue</span></strong>.</p><p>Which one of the following wavelengths of visible light would most effectively be absorbed by this pigment?</p>	<span style="color: #b3b300"><strong>yellow</strong> (580 nm)</span> and <span style="color: #9d159d"><strong>violet</strong> (410 nm)</span>	Incorrect	<span style="color: #990000"><strong>red</strong> (700 nm)</span> and <span style="color: #006600"><strong>green</strong> (530 nm)</span>	Incorrect	<span style="color: #9d159d"><strong>violet</strong> (410 nm)</span> and <span style="color: #990000"><strong>red</strong> (700 nm)</span>	Correct	<span style="color: #990000"><strong>red</strong> (700 nm)</span> and <span style="color: #b3b300"><strong>yellow</strong> (580 nm)</span>	Incorrect
MC	<p>fecf_d828</p> <p>A plant with unique photosynthetic pigments has leaves that appear <strong><span style="color: #990000">reddish</span> <span style="color: #b3b300">yellow</span></strong>.</p><p>Which one of the following wavelengths of visible light would most effectively be absorbed by this pigment?</p>	<span style="color: #4a0080"><strong>indigo</strong> (430 nm)</span> and <span style="color: #000080"><strong>blue</strong> (460 nm)</span>	Correct	<span style="color: #b3b300"><strong>yellow</strong> (580 nm)</span> and <span style="color: #4a0080"><strong>indigo</strong> (430 nm)</span>	Incorrect	<span style="color: #e63900"><strong>orange</strong> (600 nm)</span> and <span style="color: #000080"><strong>blue</strong> (460 nm)</span>	Incorrect	<span style="color: #990000"><strong>red</strong> (700 nm)</span> and <span style="color: #000080"><strong>blue</strong> (460 nm)</span>	Incorrect
MC	<p>d800_3b8d</p> <p>A plant with unique photosynthetic pigments has leaves that appear <strong><span style="color: #e63900">orangeish</span> <span style="color: #b3b300">yellow</span></strong>.</p><p>Which one of the following wavelengths of visible light would most effectively be absorbed by this pigment?</p>	<span style="color: #9d159d"><strong>violet</strong> (410 nm)</span> and <span style="color: #e63900"><strong>orange</strong> (600 nm)</span>	Incorrect	<span style="color: #e63900"><strong>orange</strong> (600 nm)</span> and <span style="color: #9d159d"><strong>violet</strong> (410 nm)</span>	Incorrect	<span style="color: #000080"><strong>blue</strong> (460 nm)</span> and <span style="color: #e63900"><strong>orange</strong> (600 nm)</span>	Incorrect	<span style="color: #4a0080"><strong>indigo</strong> (430 nm)</span> and <span style="color: #000080"><strong>blue</strong> (460 nm)</span>	Correct
