MC	<p>b005_450c</p> <strong>BONUS:</strong> Which of the following was a topic of the 2022 Nobel Prizes awarded this week?	development of bioorthogonal chemistry reactions that take place without disrupting the normal chemistry of the cell	Correct	discoveries concerning a novel therapy against infections caused by roundworm parasites	Incorrect	discovery of cancer therapy by inhibition of negative immune regulation	Incorrect	discovery that mature cells can be reprogrammed to become pluripotent stem cells	Incorrect	development of super-resolved fluorescence microscopy	Incorrect
MC	<p>5d70_52fa</p> <strong>BONUS:</strong> Which of the following was<strong> <strong>NOT</strong> </strong>a topic of the 2022 Nobel Prizes awarded this week??	establishing the violation of Bell inequalities and pioneering quantum information science using entangled photons	Incorrect	physical modelling of Earth climate: quantifying variability and reliably predicting global warming	Correct	development of click chemistry in which molecular building blocks snap together quickly and efficiently	Incorrect	discoveries concerning the genomes of extinct hominins and human evolution	Incorrect	development of bioorthogonal chemistry reactions that take place without disrupting the normal chemistry of the cell	Incorrect
MC	<p>b005_c6e6</p> <strong>BONUS:</strong> Which of the following was a topic of the 2022 Nobel Prizes awarded this week?	development of asymmetric organocatalysis tools that revolutionised pharmaceutical research and made chemistry greener	Incorrect	discoveries concerning the genomes of extinct hominins and human evolution	Correct	design and synthesis of molecular machines to be used in the development of new materials, sensors, and energy storage	Incorrect	discoveries of the molecular basis for sensing heat, cold and mechanical force, which is fundamental for our ability to feel and touch	Incorrect	discoveries concerning the activation of innate immunity when encountering pathogenic microorganisms	Incorrect
MC	<p>b005_5bdd</p> <strong>BONUS:</strong> Which of the following was a topic of the 2022 Nobel Prizes awarded this week?	discoveries of molecular mechanisms controlling the circadian rhythm	Incorrect	discoveries concerning the genomes of extinct hominins and human evolution	Correct	developing cryo-electron microscopy high-resolution structure determination of biomolecules in solution	Incorrect	discovery of the interplay of disorder and fluctuations in physical systems from atomic to planetary scales	Incorrect	development of phage display used to evolve new proteins, peptides, and antibodies	Incorrect
MC	<p>5d70_7f8b</p> <strong>BONUS:</strong> Which of the following was<strong> <strong>NOT</strong> </strong>a topic of the 2022 Nobel Prizes awarded this week??	discoveries concerning the genomes of extinct hominins and human evolution	Incorrect	development of click chemistry in which molecular building blocks snap together quickly and efficiently	Incorrect	establishing the violation of Bell inequalities and pioneering quantum information science using entangled photons	Incorrect	development of multiscale models for complex chemical systems	Correct	development of bioorthogonal chemistry reactions that take place without disrupting the normal chemistry of the cell	Incorrect
MC	<p>5d70_b9d5</p> <strong>BONUS:</strong> Which of the following was<strong> <strong>NOT</strong> </strong>a topic of the 2022 Nobel Prizes awarded this week??	development of click chemistry in which molecular building blocks snap together quickly and efficiently	Incorrect	development of bioorthogonal chemistry reactions that take place without disrupting the normal chemistry of the cell	Incorrect	establishing the violation of Bell inequalities and pioneering quantum information science using entangled photons	Incorrect	discovery of quasicrystals with regular patterns that never repeat themselves that was considered impossible	Correct	discoveries concerning the genomes of extinct hominins and human evolution	Incorrect
MC	<p>b005_3615</p> <strong>BONUS:</strong> Which of the following was a topic of the 2022 Nobel Prizes awarded this week?	discoveries of the molecular basis for sensing heat, cold and mechanical force, which is fundamental for our ability to feel and touch	Incorrect	discovery of blood-borne Hepatitis C virus, a major global health problem	Incorrect	development of asymmetric organocatalysis tools that revolutionised pharmaceutical research and made chemistry greener	Incorrect	development of bioorthogonal chemistry reactions that take place without disrupting the normal chemistry of the cell	Correct	development of super-resolved fluorescence microscopy	Incorrect
MC	<p>b005_aeea</p> <strong>BONUS:</strong> Which of the following was a topic of the 2022 Nobel Prizes awarded this week?	development of click chemistry in which molecular building blocks snap together quickly and efficiently	Correct	development of super-resolved fluorescence microscopy	Incorrect	discoveries concerning a novel therapy against Malaria	Incorrect	discovery and studies of G-protein coupled receptors (GPCRs)	Incorrect	discovery that mature cells can be reprogrammed to become pluripotent stem cells	Incorrect
MC	<p>5d70_7d63</p> <strong>BONUS:</strong> Which of the following was<strong> <strong>NOT</strong> </strong>a topic of the 2022 Nobel Prizes awarded this week??	discoveries of the molecular basis for sensing heat, cold and mechanical force, which is fundamental for our ability to feel and touch	Correct	development of bioorthogonal chemistry reactions that take place without disrupting the normal chemistry of the cell	Incorrect	development of click chemistry in which molecular building blocks snap together quickly and efficiently	Incorrect	establishing the violation of Bell inequalities and pioneering quantum information science using entangled photons	Incorrect	discoveries concerning the genomes of extinct hominins and human evolution	Incorrect
MC	<p>5d70_2924</p> <strong>BONUS:</strong> Which of the following was<strong> <strong>NOT</strong> </strong>a topic of the 2022 Nobel Prizes awarded this week??	development of bioorthogonal chemistry reactions that take place without disrupting the normal chemistry of the cell	Incorrect	discoveries concerning the genomes of extinct hominins and human evolution	Incorrect	discovery of cancer therapy by inhibition of negative immune regulation	Correct	establishing the violation of Bell inequalities and pioneering quantum information science using entangled photons	Incorrect	development of click chemistry in which molecular building blocks snap together quickly and efficiently	Incorrect
MC	<p>5d70_9a70</p> <strong>BONUS:</strong> Which of the following was<strong> <strong>NOT</strong> </strong>a topic of the 2022 Nobel Prizes awarded this week??	development of click chemistry in which molecular building blocks snap together quickly and efficiently	Incorrect	discoveries concerning a novel therapy against Malaria	Correct	development of bioorthogonal chemistry reactions that take place without disrupting the normal chemistry of the cell	Incorrect	establishing the violation of Bell inequalities and pioneering quantum information science using entangled photons	Incorrect	discoveries concerning the genomes of extinct hominins and human evolution	Incorrect
MC	<p>b005_4ae0</p> <strong>BONUS:</strong> Which of the following was a topic of the 2022 Nobel Prizes awarded this week?	development of directed evolution of enzymes used to manufacture everything from biofuels to pharmaceuticals	Incorrect	establishing the violation of Bell inequalities and pioneering quantum information science using entangled photons	Correct	discoveries concerning the activation of innate immunity when encountering pathogenic microorganisms	Incorrect	discovery that mature cells can be reprogrammed to become pluripotent stem cells	Incorrect	used a method called X-ray crystallography to solve the structure and function of the ribosome	Incorrect
MC	<p>5d70_8db9</p> <strong>BONUS:</strong> Which of the following was<strong> <strong>NOT</strong> </strong>a topic of the 2022 Nobel Prizes awarded this week??	discoveries concerning the genomes of extinct hominins and human evolution	Incorrect	development of bioorthogonal chemistry reactions that take place without disrupting the normal chemistry of the cell	Incorrect	establishing the violation of Bell inequalities and pioneering quantum information science using entangled photons	Incorrect	discovery that mature cells can be reprogrammed to become pluripotent stem cells	Correct	development of click chemistry in which molecular building blocks snap together quickly and efficiently	Incorrect
MC	<p>5d70_7c0a</p> <strong>BONUS:</strong> Which of the following was<strong> <strong>NOT</strong> </strong>a topic of the 2022 Nobel Prizes awarded this week??	discovery and studies of G-protein coupled receptors (GPCRs)	Correct	development of bioorthogonal chemistry reactions that take place without disrupting the normal chemistry of the cell	Incorrect	establishing the violation of Bell inequalities and pioneering quantum information science using entangled photons	Incorrect	development of click chemistry in which molecular building blocks snap together quickly and efficiently	Incorrect	discoveries concerning the genomes of extinct hominins and human evolution	Incorrect
MC	<p>5d70_e3f4</p> <strong>BONUS:</strong> Which of the following was<strong> <strong>NOT</strong> </strong>a topic of the 2022 Nobel Prizes awarded this week??	discoveries concerning the genomes of extinct hominins and human evolution	Incorrect	development of bioorthogonal chemistry reactions that take place without disrupting the normal chemistry of the cell	Incorrect	establishing the violation of Bell inequalities and pioneering quantum information science using entangled photons	Incorrect	discoveries of mechanisms for autophagy	Correct	development of click chemistry in which molecular building blocks snap together quickly and efficiently	Incorrect
MC	<p>b005_f22a</p> <strong>BONUS:</strong> Which of the following was a topic of the 2022 Nobel Prizes awarded this week?	discoveries concerning the genomes of extinct hominins and human evolution	Correct	discoveries of cells that constitute a positioning system in the brain	Incorrect	design and synthesis of molecular machines to be used in the development of new materials, sensors, and energy storage	Incorrect	used a method called X-ray crystallography to solve the structure and function of the ribosome	Incorrect	development of lithium-ion batteries that are lightweight, rechargeable, powerful, and store significant amounts of energy	Incorrect
MC	<p>b005_7511</p> <strong>BONUS:</strong> Which of the following was a topic of the 2022 Nobel Prizes awarded this week?	discovery of quasicrystals with regular patterns that never repeat themselves that was considered impossible	Incorrect	development of phage display used to evolve new proteins, peptides, and antibodies	Incorrect	establishing the violation of Bell inequalities and pioneering quantum information science using entangled photons	Correct	discovery that mature cells can be reprogrammed to become pluripotent stem cells	Incorrect	discoveries of cells that constitute a positioning system in the brain	Incorrect
MC	<p>b005_4e46</p> <strong>BONUS:</strong> Which of the following was a topic of the 2022 Nobel Prizes awarded this week?	discovery of quasicrystals with regular patterns that never repeat themselves that was considered impossible	Incorrect	discoveries of cells that constitute a positioning system in the brain	Incorrect	development of phage display used to evolve new proteins, peptides, and antibodies	Incorrect	development of click chemistry in which molecular building blocks snap together quickly and efficiently	Correct	discovery and studies of G-protein coupled receptors (GPCRs)	Incorrect
MC	<p>b005_880e</p> <strong>BONUS:</strong> Which of the following was a topic of the 2022 Nobel Prizes awarded this week?	used a method called X-ray crystallography to solve the structure and function of the ribosome	Incorrect	discovery of quasicrystals with regular patterns that never repeat themselves that was considered impossible	Incorrect	development of bioorthogonal chemistry reactions that take place without disrupting the normal chemistry of the cell	Correct	discoveries concerning the activation of innate immunity when encountering pathogenic microorganisms	Incorrect	discoveries of mechanisms for autophagy	Incorrect
MC	<p>5d70_1924</p> <strong>BONUS:</strong> Which of the following was<strong> <strong>NOT</strong> </strong>a topic of the 2022 Nobel Prizes awarded this week??	development of bioorthogonal chemistry reactions that take place without disrupting the normal chemistry of the cell	Incorrect	mechanistic studies of DNA repair and how cells repair damaged DNA and safeguard the genetic information	Correct	discoveries concerning the genomes of extinct hominins and human evolution	Incorrect	development of click chemistry in which molecular building blocks snap together quickly and efficiently	Incorrect	establishing the violation of Bell inequalities and pioneering quantum information science using entangled photons	Incorrect
MC	<p>5d70_f550</p> <strong>BONUS:</strong> Which of the following was<strong> <strong>NOT</strong> </strong>a topic of the 2022 Nobel Prizes awarded this week??	discoveries concerning the genomes of extinct hominins and human evolution	Incorrect	development of click chemistry in which molecular building blocks snap together quickly and efficiently	Incorrect	development of super-resolved fluorescence microscopy	Correct	establishing the violation of Bell inequalities and pioneering quantum information science using entangled photons	Incorrect	development of bioorthogonal chemistry reactions that take place without disrupting the normal chemistry of the cell	Incorrect
MC	<p>5d70_f659</p> <strong>BONUS:</strong> Which of the following was<strong> <strong>NOT</strong> </strong>a topic of the 2022 Nobel Prizes awarded this week??	development of click chemistry in which molecular building blocks snap together quickly and efficiently	Incorrect	establishing the violation of Bell inequalities and pioneering quantum information science using entangled photons	Incorrect	discoveries concerning the genomes of extinct hominins and human evolution	Incorrect	used a method called X-ray crystallography to solve the structure and function of the ribosome	Correct	development of bioorthogonal chemistry reactions that take place without disrupting the normal chemistry of the cell	Incorrect
MC	<p>5d70_8616</p> <strong>BONUS:</strong> Which of the following was<strong> <strong>NOT</strong> </strong>a topic of the 2022 Nobel Prizes awarded this week??	discoveries concerning the genomes of extinct hominins and human evolution	Incorrect	development of bioorthogonal chemistry reactions that take place without disrupting the normal chemistry of the cell	Incorrect	development of phage display used to evolve new proteins, peptides, and antibodies	Correct	development of click chemistry in which molecular building blocks snap together quickly and efficiently	Incorrect	establishing the violation of Bell inequalities and pioneering quantum information science using entangled photons	Incorrect
MC	<p>5d70_c387</p> <strong>BONUS:</strong> Which of the following was<strong> <strong>NOT</strong> </strong>a topic of the 2022 Nobel Prizes awarded this week??	discoveries concerning the genomes of extinct hominins and human evolution	Incorrect	discoveries of mechanisms for autophagy	Correct	establishing the violation of Bell inequalities and pioneering quantum information science using entangled photons	Incorrect	development of bioorthogonal chemistry reactions that take place without disrupting the normal chemistry of the cell	Incorrect	development of click chemistry in which molecular building blocks snap together quickly and efficiently	Incorrect
MC	<p>b005_57fd</p> <strong>BONUS:</strong> Which of the following was a topic of the 2022 Nobel Prizes awarded this week?	development of phage display used to evolve new proteins, peptides, and antibodies	Incorrect	discoveries of how cells sense and adapt to oxygen availability	Incorrect	discovery of the dendritic cell and its role in adaptive immunity, a memory against pathogenic substances	Incorrect	development of bioorthogonal chemistry reactions that take place without disrupting the normal chemistry of the cell	Correct	discoveries concerning a novel therapy against Malaria	Incorrect
MC	<p>5d70_ab77</p> <strong>BONUS:</strong> Which of the following was<strong> <strong>NOT</strong> </strong>a topic of the 2022 Nobel Prizes awarded this week??	development of bioorthogonal chemistry reactions that take place without disrupting the normal chemistry of the cell	Incorrect	development of click chemistry in which molecular building blocks snap together quickly and efficiently	Incorrect	discovery and studies of G-protein coupled receptors (GPCRs)	Correct	discoveries concerning the genomes of extinct hominins and human evolution	Incorrect	establishing the violation of Bell inequalities and pioneering quantum information science using entangled photons	Incorrect
MC	<p>b005_e7f3</p> <strong>BONUS:</strong> Which of the following was a topic of the 2022 Nobel Prizes awarded this week?	discovery and studies of G-protein coupled receptors (GPCRs)	Incorrect	discoveries concerning the genomes of extinct hominins and human evolution	Correct	discovery of quasicrystals with regular patterns that never repeat themselves that was considered impossible	Incorrect	developing cryo-electron microscopy high-resolution structure determination of biomolecules in solution	Incorrect	development of directed evolution of enzymes used to manufacture everything from biofuels to pharmaceuticals	Incorrect
MC	<p>b005_1aab</p> <strong>BONUS:</strong> Which of the following was a topic of the 2022 Nobel Prizes awarded this week?	discovery of the interplay of disorder and fluctuations in physical systems from atomic to planetary scales	Incorrect	mechanistic studies of DNA repair and how cells repair damaged DNA and safeguard the genetic information	Incorrect	physical modelling of Earth climate: quantifying variability and reliably predicting global warming	Incorrect	discoveries of mechanisms for autophagy	Incorrect	development of click chemistry in which molecular building blocks snap together quickly and efficiently	Correct
MC	<p>5d70_ad2c</p> <strong>BONUS:</strong> Which of the following was<strong> <strong>NOT</strong> </strong>a topic of the 2022 Nobel Prizes awarded this week??	discovery of blood-borne Hepatitis C virus, a major global health problem	Correct	discoveries concerning the genomes of extinct hominins and human evolution	Incorrect	establishing the violation of Bell inequalities and pioneering quantum information science using entangled photons	Incorrect	development of bioorthogonal chemistry reactions that take place without disrupting the normal chemistry of the cell	Incorrect	development of click chemistry in which molecular building blocks snap together quickly and efficiently	Incorrect
MC	<p>b005_f3b0</p> <strong>BONUS:</strong> Which of the following was a topic of the 2022 Nobel Prizes awarded this week?	discoveries of molecular mechanisms controlling the circadian rhythm	Incorrect	discoveries concerning the genomes of extinct hominins and human evolution	Correct	design and synthesis of molecular machines to be used in the development of new materials, sensors, and energy storage	Incorrect	discoveries of cells that constitute a positioning system in the brain	Incorrect	discoveries of how cells sense and adapt to oxygen availability	Incorrect
MC	<p>5d70_1a28</p> <strong>BONUS:</strong> Which of the following was<strong> <strong>NOT</strong> </strong>a topic of the 2022 Nobel Prizes awarded this week??	discoveries concerning the genomes of extinct hominins and human evolution	Incorrect	development of click chemistry in which molecular building blocks snap together quickly and efficiently	Incorrect	development of multiscale models for complex chemical systems	Correct	development of bioorthogonal chemistry reactions that take place without disrupting the normal chemistry of the cell	Incorrect	establishing the violation of Bell inequalities and pioneering quantum information science using entangled photons	Incorrect
MC	<p>b005_f60e</p> <strong>BONUS:</strong> Which of the following was a topic of the 2022 Nobel Prizes awarded this week?	discoveries concerning the genomes of extinct hominins and human evolution	Correct	development of super-resolved fluorescence microscopy	Incorrect	discoveries concerning a novel therapy against Malaria	Incorrect	discovery and studies of G-protein coupled receptors (GPCRs)	Incorrect	discoveries concerning a novel therapy against infections caused by roundworm parasites	Incorrect
MC	<p>b005_f0f8</p> <strong>BONUS:</strong> Which of the following was a topic of the 2022 Nobel Prizes awarded this week?	development of phage display used to evolve new proteins, peptides, and antibodies	Incorrect	development of bioorthogonal chemistry reactions that take place without disrupting the normal chemistry of the cell	Correct	development of lithium-ion batteries that are lightweight, rechargeable, powerful, and store significant amounts of energy	Incorrect	developing cryo-electron microscopy high-resolution structure determination of biomolecules in solution	Incorrect	discoveries of mechanisms for autophagy	Incorrect
MC	<p>b005_4a08</p> <strong>BONUS:</strong> Which of the following was a topic of the 2022 Nobel Prizes awarded this week?	development of click chemistry in which molecular building blocks snap together quickly and efficiently	Correct	development of lithium-ion batteries that are lightweight, rechargeable, powerful, and store significant amounts of energy	Incorrect	mechanistic studies of DNA repair and how cells repair damaged DNA and safeguard the genetic information	Incorrect	development of super-resolved fluorescence microscopy	Incorrect	discoveries of mechanisms for autophagy	Incorrect
MC	<p>5d70_f552</p> <strong>BONUS:</strong> Which of the following was<strong> <strong>NOT</strong> </strong>a topic of the 2022 Nobel Prizes awarded this week??	development of click chemistry in which molecular building blocks snap together quickly and efficiently	Incorrect	establishing the violation of Bell inequalities and pioneering quantum information science using entangled photons	Incorrect	discoveries of machinery regulating vesicle transport in our cells	Correct	development of bioorthogonal chemistry reactions that take place without disrupting the normal chemistry of the cell	Incorrect	discoveries concerning the genomes of extinct hominins and human evolution	Incorrect
MC	<p>5d70_571e</p> <strong>BONUS:</strong> Which of the following was<strong> <strong>NOT</strong> </strong>a topic of the 2022 Nobel Prizes awarded this week??	discoveries concerning the genomes of extinct hominins and human evolution	Incorrect	physical modelling of Earth climate: quantifying variability and reliably predicting global warming	Correct	development of click chemistry in which molecular building blocks snap together quickly and efficiently	Incorrect	development of bioorthogonal chemistry reactions that take place without disrupting the normal chemistry of the cell	Incorrect	establishing the violation of Bell inequalities and pioneering quantum information science using entangled photons	Incorrect
MC	<p>b005_76fc</p> <strong>BONUS:</strong> Which of the following was a topic of the 2022 Nobel Prizes awarded this week?	discovery of blood-borne Hepatitis C virus, a major global health problem	Incorrect	discoveries concerning the genomes of extinct hominins and human evolution	Correct	discovery of the dendritic cell and its role in adaptive immunity, a memory against pathogenic substances	Incorrect	design and synthesis of molecular machines to be used in the development of new materials, sensors, and energy storage	Incorrect	discoveries concerning a novel therapy against infections caused by roundworm parasites	Incorrect
MC	<p>5d70_08c5</p> <strong>BONUS:</strong> Which of the following was<strong> <strong>NOT</strong> </strong>a topic of the 2022 Nobel Prizes awarded this week??	development of bioorthogonal chemistry reactions that take place without disrupting the normal chemistry of the cell	Incorrect	discoveries concerning the genomes of extinct hominins and human evolution	Incorrect	establishing the violation of Bell inequalities and pioneering quantum information science using entangled photons	Incorrect	development of click chemistry in which molecular building blocks snap together quickly and efficiently	Incorrect	discoveries of cells that constitute a positioning system in the brain	Correct
MC	<p>b005_71fe</p> <strong>BONUS:</strong> Which of the following was a topic of the 2022 Nobel Prizes awarded this week?	discoveries of the molecular basis for sensing heat, cold and mechanical force, which is fundamental for our ability to feel and touch	Incorrect	development of phage display used to evolve new proteins, peptides, and antibodies	Incorrect	design and synthesis of molecular machines to be used in the development of new materials, sensors, and energy storage	Incorrect	establishing the violation of Bell inequalities and pioneering quantum information science using entangled photons	Correct	development of lithium-ion batteries that are lightweight, rechargeable, powerful, and store significant amounts of energy	Incorrect
MC	<p>b005_716c</p> <strong>BONUS:</strong> Which of the following was a topic of the 2022 Nobel Prizes awarded this week?	discovery of the interplay of disorder and fluctuations in physical systems from atomic to planetary scales	Incorrect	discovery and studies of G-protein coupled receptors (GPCRs)	Incorrect	establishing the violation of Bell inequalities and pioneering quantum information science using entangled photons	Correct	design and synthesis of molecular machines to be used in the development of new materials, sensors, and energy storage	Incorrect	physical modelling of Earth climate: quantifying variability and reliably predicting global warming	Incorrect
MC	<p>5d70_af58</p> <strong>BONUS:</strong> Which of the following was<strong> <strong>NOT</strong> </strong>a topic of the 2022 Nobel Prizes awarded this week??	development of bioorthogonal chemistry reactions that take place without disrupting the normal chemistry of the cell	Incorrect	establishing the violation of Bell inequalities and pioneering quantum information science using entangled photons	Incorrect	discoveries concerning the genomes of extinct hominins and human evolution	Incorrect	development of click chemistry in which molecular building blocks snap together quickly and efficiently	Incorrect	discovery of the interplay of disorder and fluctuations in physical systems from atomic to planetary scales	Correct
MC	<p>b005_6d23</p> <strong>BONUS:</strong> Which of the following was a topic of the 2022 Nobel Prizes awarded this week?	development of bioorthogonal chemistry reactions that take place without disrupting the normal chemistry of the cell	Correct	discoveries of mechanisms for autophagy	Incorrect	advanced mathematical methods to study unusual states of matter, such as superconductors, superfluids and thin magnetic films	Incorrect	physical modelling of Earth climate: quantifying variability and reliably predicting global warming	Incorrect	discoveries of how cells sense and adapt to oxygen availability	Incorrect
MC	<p>5d70_d07c</p> <strong>BONUS:</strong> Which of the following was<strong> <strong>NOT</strong> </strong>a topic of the 2022 Nobel Prizes awarded this week??	discoveries concerning the genomes of extinct hominins and human evolution	Incorrect	development of bioorthogonal chemistry reactions that take place without disrupting the normal chemistry of the cell	Incorrect	discoveries of mechanisms for autophagy	Correct	establishing the violation of Bell inequalities and pioneering quantum information science using entangled photons	Incorrect	development of click chemistry in which molecular building blocks snap together quickly and efficiently	Incorrect
MC	<p>5d70_b505</p> <strong>BONUS:</strong> Which of the following was<strong> <strong>NOT</strong> </strong>a topic of the 2022 Nobel Prizes awarded this week??	development of click chemistry in which molecular building blocks snap together quickly and efficiently	Incorrect	establishing the violation of Bell inequalities and pioneering quantum information science using entangled photons	Incorrect	mechanistic studies of DNA repair and how cells repair damaged DNA and safeguard the genetic information	Correct	discoveries concerning the genomes of extinct hominins and human evolution	Incorrect	development of bioorthogonal chemistry reactions that take place without disrupting the normal chemistry of the cell	Incorrect
MC	<p>5d70_6348</p> <strong>BONUS:</strong> Which of the following was<strong> <strong>NOT</strong> </strong>a topic of the 2022 Nobel Prizes awarded this week??	establishing the violation of Bell inequalities and pioneering quantum information science using entangled photons	Incorrect	development of click chemistry in which molecular building blocks snap together quickly and efficiently	Incorrect	discoveries concerning the genomes of extinct hominins and human evolution	Incorrect	development of bioorthogonal chemistry reactions that take place without disrupting the normal chemistry of the cell	Incorrect	development of lithium-ion batteries that are lightweight, rechargeable, powerful, and store significant amounts of energy	Correct
MC	<p>b005_b853</p> <strong>BONUS:</strong> Which of the following was a topic of the 2022 Nobel Prizes awarded this week?	discoveries of molecular mechanisms controlling the circadian rhythm	Incorrect	design and synthesis of molecular machines to be used in the development of new materials, sensors, and energy storage	Incorrect	development of super-resolved fluorescence microscopy	Incorrect	discoveries concerning the genomes of extinct hominins and human evolution	Correct	development of phage display used to evolve new proteins, peptides, and antibodies	Incorrect
MC	<p>b005_2bdf</p> <strong>BONUS:</strong> Which of the following was a topic of the 2022 Nobel Prizes awarded this week?	discoveries concerning the genomes of extinct hominins and human evolution	Correct	design and synthesis of molecular machines to be used in the development of new materials, sensors, and energy storage	Incorrect	development of lithium-ion batteries that are lightweight, rechargeable, powerful, and store significant amounts of energy	Incorrect	development of asymmetric organocatalysis tools that revolutionised pharmaceutical research and made chemistry greener	Incorrect	development of phage display used to evolve new proteins, peptides, and antibodies	Incorrect
MC	<p>b005_e10e</p> <strong>BONUS:</strong> Which of the following was a topic of the 2022 Nobel Prizes awarded this week?	discovery of blood-borne Hepatitis C virus, a major global health problem	Incorrect	development of click chemistry in which molecular building blocks snap together quickly and efficiently	Correct	discovery and studies of G-protein coupled receptors (GPCRs)	Incorrect	discoveries concerning a novel therapy against Malaria	Incorrect	development of lithium-ion batteries that are lightweight, rechargeable, powerful, and store significant amounts of energy	Incorrect
MC	<p>5d70_1cf0</p> <strong>BONUS:</strong> Which of the following was<strong> <strong>NOT</strong> </strong>a topic of the 2022 Nobel Prizes awarded this week??	discoveries concerning the genomes of extinct hominins and human evolution	Incorrect	development of bioorthogonal chemistry reactions that take place without disrupting the normal chemistry of the cell	Incorrect	establishing the violation of Bell inequalities and pioneering quantum information science using entangled photons	Incorrect	development of multiscale models for complex chemical systems	Correct	development of click chemistry in which molecular building blocks snap together quickly and efficiently	Incorrect
MC	<p>b005_eb36</p> <strong>BONUS:</strong> Which of the following was a topic of the 2022 Nobel Prizes awarded this week?	design and synthesis of molecular machines to be used in the development of new materials, sensors, and energy storage	Incorrect	discoveries of mechanisms for autophagy	Incorrect	development of directed evolution of enzymes used to manufacture everything from biofuels to pharmaceuticals	Incorrect	development of bioorthogonal chemistry reactions that take place without disrupting the normal chemistry of the cell	Correct	discoveries concerning a novel therapy against Malaria	Incorrect
MC	<p>b005_5bf1</p> <strong>BONUS:</strong> Which of the following was a topic of the 2022 Nobel Prizes awarded this week?	discoveries of mechanisms for autophagy	Incorrect	discovery of the interplay of disorder and fluctuations in physical systems from atomic to planetary scales	Incorrect	advanced mathematical methods to study unusual states of matter, such as superconductors, superfluids and thin magnetic films	Incorrect	development of click chemistry in which molecular building blocks snap together quickly and efficiently	Correct	development of super-resolved fluorescence microscopy	Incorrect
MC	<p>b005_2871</p> <strong>BONUS:</strong> Which of the following was a topic of the 2022 Nobel Prizes awarded this week?	development of phage display used to evolve new proteins, peptides, and antibodies	Incorrect	used a method called X-ray crystallography to solve the structure and function of the ribosome	Incorrect	development of directed evolution of enzymes used to manufacture everything from biofuels to pharmaceuticals	Incorrect	discovery of cancer therapy by inhibition of negative immune regulation	Incorrect	development of click chemistry in which molecular building blocks snap together quickly and efficiently	Correct
MC	<p>5d70_d4ff</p> <strong>BONUS:</strong> Which of the following was<strong> <strong>NOT</strong> </strong>a topic of the 2022 Nobel Prizes awarded this week??	development of bioorthogonal chemistry reactions that take place without disrupting the normal chemistry of the cell	Incorrect	establishing the violation of Bell inequalities and pioneering quantum information science using entangled photons	Incorrect	development of click chemistry in which molecular building blocks snap together quickly and efficiently	Incorrect	discoveries of how cells sense and adapt to oxygen availability	Correct	discoveries concerning the genomes of extinct hominins and human evolution	Incorrect
MC	<p>5d70_4bed</p> <strong>BONUS:</strong> Which of the following was<strong> <strong>NOT</strong> </strong>a topic of the 2022 Nobel Prizes awarded this week??	discoveries concerning the genomes of extinct hominins and human evolution	Incorrect	development of bioorthogonal chemistry reactions that take place without disrupting the normal chemistry of the cell	Incorrect	establishing the violation of Bell inequalities and pioneering quantum information science using entangled photons	Incorrect	development of click chemistry in which molecular building blocks snap together quickly and efficiently	Incorrect	discoveries of how cells sense and adapt to oxygen availability	Correct
MC	<p>b005_9d44</p> <strong>BONUS:</strong> Which of the following was a topic of the 2022 Nobel Prizes awarded this week?	discovery that mature cells can be reprogrammed to become pluripotent stem cells	Incorrect	discoveries of the molecular basis for sensing heat, cold and mechanical force, which is fundamental for our ability to feel and touch	Incorrect	establishing the violation of Bell inequalities and pioneering quantum information science using entangled photons	Correct	discoveries of mechanisms for autophagy	Incorrect	discoveries of machinery regulating vesicle transport in our cells	Incorrect
MC	<p>5d70_e74d</p> <strong>BONUS:</strong> Which of the following was<strong> <strong>NOT</strong> </strong>a topic of the 2022 Nobel Prizes awarded this week??	discovery of blood-borne Hepatitis C virus, a major global health problem	Correct	development of bioorthogonal chemistry reactions that take place without disrupting the normal chemistry of the cell	Incorrect	establishing the violation of Bell inequalities and pioneering quantum information science using entangled photons	Incorrect	development of click chemistry in which molecular building blocks snap together quickly and efficiently	Incorrect	discoveries concerning the genomes of extinct hominins and human evolution	Incorrect
MC	<p>b005_2273</p> <strong>BONUS:</strong> Which of the following was a topic of the 2022 Nobel Prizes awarded this week?	discoveries concerning a novel therapy against Malaria	Incorrect	development of click chemistry in which molecular building blocks snap together quickly and efficiently	Correct	discovery of blood-borne Hepatitis C virus, a major global health problem	Incorrect	discovery of quasicrystals with regular patterns that never repeat themselves that was considered impossible	Incorrect	discoveries of molecular mechanisms controlling the circadian rhythm	Incorrect
MC	<p>b005_4918</p> <strong>BONUS:</strong> Which of the following was a topic of the 2022 Nobel Prizes awarded this week?	developing cryo-electron microscopy high-resolution structure determination of biomolecules in solution	Incorrect	development of click chemistry in which molecular building blocks snap together quickly and efficiently	Correct	mechanistic studies of DNA repair and how cells repair damaged DNA and safeguard the genetic information	Incorrect	physical modelling of Earth climate: quantifying variability and reliably predicting global warming	Incorrect	discovery of the dendritic cell and its role in adaptive immunity, a memory against pathogenic substances	Incorrect
